"name","type","classification","code","depot_name","district_name","region_name"
"RIPPLE CREEK ","SUBSTATION","PRIMARY","H64","REDCLIFF DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"THORNHILL","SUBSTATION","PRIMARY","G23","GWERU URBAN DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"CHERTSEY_330KV","SUBSTATION","BSP","573165",NULL,NULL,"TRANSMISSION"
"SHERWOOD 330 KV",NULL,"BSP","573205",NULL,NULL,"TRANSMISSION"
"SHURUGWI LOCAL","SUBSTATION","PRIMARY","G8","SHURUGWI DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"MT HAMPDEN","SUBSTATION","PRIMARY","294","MABELREIGN DEPOT","HR NORTH DISTRICT","HARARE REGION"
"TOKWE_SUBSTATION",NULL,"BSP","573105",NULL,NULL,"TRANSMISSION"
"HAVEN 330 KV",NULL,"BSP","573145",NULL,NULL,"TRANSMISSION"
"STRATHAVEN","SUBSTATION","PRIMARY","866","MABELREIGN DEPOT","HR NORTH DISTRICT","HARARE REGION"
"DOROWA VR 33/11","SUBSTATION","PRIMARY","U50","RUSAPE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"WORKINGTON","SUBSTATION","PRIMARY","1514","WARREN PARK DEPOT","HR NORTH DISTRICT","HARARE REGION"
"MUNYATI POWER STATION",NULL,"POWER_STATON","573211",NULL,NULL,"TRANSMISSION"
"LYDIATE_33KV_S.S","DISTRIBUTION","PRIMARY","M77","CHEGUTU DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"BEATRICE_33KV_S.S","DISTRIBUTION","PRIMARY","M27",NULL,"KADOMA DISTRICT ","NORTHERN REGION"
"RIMUKA_ROAD_33KV_S.S","DISTRIBUTION","PRIMARY","H36","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"DALNY_MINE_33KV_S.S","DISTRIBUTION","PRIMARY","H20","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"UMFURUDZI_SOUTH_33KV_S.S","DISTRIBUTION","PRIMARY","M56","BINDURA DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"TURK","SUBSTATION","PRIMARY","Q4","TURK MINE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"WARNHAM 33/11","SUBSTATION","PRIMARY","U32","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"CHEGUTU_WEST","DISTRIBUTION","PRIMARY","H35","CHEGUTU DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"KADOMA_88KV_S.S","POWER","PRIMARY","H18","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"TENGWE_33KV_S.S","DISTRIBUTION","PRIMARY","M68","KAROI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"MANICA","SUBSTATION","PRIMARY","1511","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"KARIBA_EAST_33KV_S.S","DISTRIBUTION","PRIMARY","K8","KARIBA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"CHINHOYI_132KV_S.S","POWER","PRIMARY","M112","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
