budget_id,section_code,section,budget_name,allocated,awaiting_sanctioning,withdrawn,to_be_withdrawn,balance,withdrawal_date,period,region,created_date
1,521001,GM,GM-computer,194333420,0,0,194903809,194333420,2024-05-01,2024,harare,28/2/2024
2,521001,GM,GM-office &furniture equip,206105670,0,0,0,206105670,NULL,2024,harare,28/2/2024
3,521001,GM,GM-motor vehicles,240250000,0,0,120090,240250000,2024-04-30,2024,harare,28/2/2024
4,522001,Finance,Finance- T&E,127548725,0,0,0,127548725,NULL,2024,harare,28/2/2024
5,522001,Finance,Finance-computer,194333420,0,0,0,194333420,NULL,2024,harare,28/2/2024
6,522001,Finance,Finance-office &furniture equip,206105670,0,0,0,206105670,NULL,2024,harare,28/2/2024
7,522001,Finance,Finance-motor vehicles,480500000,0,0,0,480500000,NULL,2024,harare,28/2/2024
8,523001,Human Resources,HR-computer,194333420,0,0,0,194333420,NULL,2024,harare,28/2/2024
9,523001,Human Resources,HR-office &furniture equip,206105670,0,0,0,206105670,NULL,2024,harare,28/2/2024
10,523001,Human Resources,HR-motor vehicles,480500000,0,0,0,480500000,NULL,2024,harare,28/2/2024
11,523001,Human Resources,HR-L&B,4723449600,700000000,0,0,4723449600,NULL,2024,harare,28/2/2024
12,524001,EM,EM-computer,194333420,0,0,0,194333420,NULL,2024,harare,28/2/2024
13,524001,EM,EM-office &furniture equip,206105670,0,0,24,206105670,2024-05-01,2024,harare,28/2/2024
14,524001,EM,EM-motor vehicles,240250000,0,0,0,240250000,NULL,2024,harare,28/2/2024
15,524101,Network Development,Projects-T&E,127548725,0,0,0,127548725,NULL,2024,harare,28/2/2024
16,524101,Network Development,Projects-computers,194333420,0,0,200333420,194333420,2024-04-24,2024,harare,28/2/2024
17,524101,Network Development,Projects-office &furniture equip,206105670,0,0,212105670,206105670,2024-04-25,2024,harare,28/2/2024
18,524101,Network Development,Projects-motor vehicles,1441500000,0,0,0,1441500000,NULL,2024,harare,28/2/2024
19,524101,Network Development,Projects-Category 1,50510764800,0,0,0,50510764800,NULL,2024,harare,28/2/2024
20,524101,Network Development,Projects-Category 3,1.28E+11,0,0,0,1.28E+11,NULL,2024,harare,28/2/2024
21,524301,Operation and Maintenance,OPS- T&E,819956144.2,0,0,0,819956144.2,2024-01-17,2024,harare,28/2/2024
22,524301,Operation and Maintenance,OPS-computer,194333420,0,0,0,194333420,NULL,2024,harare,28/2/2024
23,524301,Operation and Maintenance,OPS-office &furniture equip,206105670,0,0,0,206105670,NULL,2024,harare,28/2/2024
24,524301,Operation and Maintenance,OPS-motor vehicles,2306400000,0,0,0,2306400000,NULL,2024,harare,28/2/2024
25,524401,Chitungwiza,Zengeza- T&E,409978072.1,0,0,0,409978072.1,NULL,2024,harare,28/2/2024
26,524401,Chitungwiza,Zengeza-computer,194333420,0,0,0,194333420,NULL,2024,harare,28/2/2024
27,524401,Chitungwiza,Zengeza-office &furniture equip,206105670,0,0,0,206105670,NULL,2024,harare,28/2/2024
28,524401,Chitungwiza,Zengeza-motor vehicles,1729800000,0,0,0,1729800000,NULL,2024,harare,28/2/2024
29,524401,Chitungwiza,Zengeza-Category 2,1368000000,0,0,0,1368000000,NULL,2024,harare,28/2/2024
30,524401,Chitungwiza,Zengeza-Major Distribution Maintenace Equipment,4713430656,0,0,0,4713430656,NULL,2024,harare,28/2/2024
31,524401,Chitungwiza,Seke- T&E,409978072.1,7000000,0,0,409978072.1,NULL,2024,harare,28/2/2024
32,524401,Chitungwiza,Seke-computer,194333420,0,0,0,194333420,2024-01-17,2024,harare,28/2/2024
33,524401,Chitungwiza,Seke-office &furniture equip,206105670,0,0,0,206105670,NULL,2024,harare,28/2/2024
34,524401,Chitungwiza,Seke-motor vehicles,1729800000,0,0,0,1729800000,NULL,2024,harare,28/2/2024
