"document_id","supplier1","rfq_no","payment_terms1","bid_validity1","delivery_period1","technical_specifications1","valid_tax_clearance1","registered_with_praz1","tax_status1","site_visit_done1","samples_delivered1","decision1","total1","remarks1","supplier2","payment_terms2","bid_validity2","delivery_period2","decision2","total2","technical_specifications2","valid_tax_clearance2","registered_with_praz2","tax_status2","site_visit_done2","samples_delivered2","remarks2","supplier3","payment_terms3","bid_validity3","delivery_period3","technical_specifications3","valid_tax_clearance3","registered_with_praz3","tax_status3","site_visit_done3","samples_delivered3","decision3","total3","remarks3","supplier4","payment_terms4","bid_validity4","delivery_period4","technical_specifications4","valid_tax_clearance4","registered_with_praz4","tax_status4","site_visit_done4","samples_delivered4","decision4","total4","remarks4","supplier5","payment_terms5","bid_validity5","delivery_period5","technical_specifications5","valid_tax_clearance5","registered_with_praz5","tax_status5","site_visit_done5","samples_delivered5","decision5","total5","remarks5","supplier6","payment_terms6","bid_validity6","delivery_period6","technical_specifications6","valid_tax_clearance6","registered_with_praz6","tax_status6","site_visit_done6","samples_delivered6","decision6","total6","remarks6","supplier7","payment_terms7","bid_validity7","delivery_period7","technical_specifications7","valid_tax_clearance7","registered_with_praz7","tax_status7","site_visit_done7","samples_delivered7","decision7","total7","remarks7","supplier8","payment_terms8","bid_validity8","delivery_period8","technical_specifications8","valid_tax_clearance8","registered_with_praz8","tax_status8","site_visit_done8","samples_delivered8","decision8","total8","remarks8","supplier9","payment_terms9","bid_validity9","delivery_period9","technical_specifications9","valid_tax_clearance9","registered_with_praz9","tax_status9","site_visit_done9","samples_delivered9","decision9","total9","remarks9","supplier10","payment_terms10","bid_validity10","delivery_period10","technical_specifications10","valid_tax_clearance10","registered_with_praz10","tax_status10","site_visit_done10","samples_delivered10","decision10","total10","remarks10","supplier11","payment_terms11","bid_validity11","delivery_period11","technical_specifications11","valid_tax_clearance11","registered_with_praz11","tax_status11","site_visit_done11","samples_delivered11","decision11","total11","remarks11","supplier12","payment_terms12","bid_validity12","delivery_period12","technical_specifications12","valid_tax_clearance12","registered_with_praz12","tax_status12","site_visit_done12","samples_delivered12","decision12","total12","remarks12","supplier13","payment_terms13","bid_validity13","delivery_period13","technical_specifications13","valid_tax_clearance13","registered_with_praz13","tax_status13","site_visit_done13","samples_delivered13","decision13","total13","remarks13","supplier14","payment_terms14","bid_validity14","delivery_period14","technical_specifications14","valid_tax_clearance14","registered_with_praz14","tax_status14","site_visit_done14","samples_delivered14","decision14","total14","remarks14","supplier15","payment_terms15","bid_validity15","delivery_period15","technical_specifications15","valid_tax_clearance15","registered_with_praz15","tax_status15","site_visit_done15","samples_delivered15","decision15","total15","remarks15","supplier16","payment_terms16","bid_validity16","delivery_period16","technical_specifications16","valid_tax_clearance16","registered_with_praz16","tax_status16","site_visit_done16","samples_delivered16","decision16","total16","remarks16","supplier17","payment_terms17","bid_validity17","delivery_period17","technical_specifications17","valid_tax_clearance17","registered_with_praz17","tax_status17","site_visit_done17","samples_delivered17","decision17","total17","remarks17","supplier18","payment_terms18","bid_validity18","delivery_period18","technical_specifications18","valid_tax_clearance18","registered_with_praz18","tax_status18","site_visit_done18","samples_delivered18","decision18","total18","remarks18","supplier19","payment_terms19","bid_validity19","delivery_period19","technical_specifications19","valid_tax_clearance19","registered_with_praz19","tax_status19","site_visit_done19","samples_delivered19","decision19","total19","remarks19","supplier20","payment_terms20","bid_validity20","delivery_period20","technical_specifications20","valid_tax_clearance20","registered_with_praz20","tax_status20","site_visit_done20","samples_delivered20","decision20","total20","remarks20","supplier21","payment_terms21","bid_validity21","delivery_period21","technical_specifications21","valid_tax_clearance21","registered_with_praz21","tax_status21","site_visit_done21","samples_delivered21","decision21","total21","remarks21","supplier22","payment_terms22","bid_validity22","delivery_period22","technical_specifications22","valid_tax_clearance22","registered_with_praz22","tax_status22","site_visit_done22","samples_delivered22","decision22","total22","remarks22","supplier23","payment_terms23","bid_validity23","delivery_period23","technical_specifications23","valid_tax_clearance23","registered_with_praz23","tax_status23","site_visit_done23","samples_delivered23","decision23","total23","remarks23","supplier24","payment_terms24","bid_validity24","delivery_period24","technical_specifications24","valid_tax_clearance24","registered_with_praz24","tax_status24","site_visit_done24","samples_delivered24","decision24","total24","remarks24","supplier25","payment_terms25","bid_validity25","delivery_period25","technical_specifications25","valid_tax_clearance25","registered_with_praz25","tax_status25","site_visit_done25","samples_delivered25","decision25","total25","remarks25","supplier26","payment_terms26","bid_validity26","delivery_period26","technical_specifications26","valid_tax_clearance26","registered_with_praz26","tax_status26","site_visit_done26","samples_delivered26","decision26","total26","remarks26","supplier27","payment_terms27","bid_validity27","delivery_period27","technical_specifications27","valid_tax_clearance27","registered_with_praz27","tax_status27","site_visit_done27","samples_delivered27","decision27","total27","remarks27","supplier28","payment_terms28","bid_validity28","delivery_period28","technical_specifications28","valid_tax_clearance28","registered_with_praz28","tax_status28","site_visit_done28","samples_delivered28","decision28","total28","remarks28","supplier29","payment_terms29","bid_validity29","delivery_period29","technical_specifications29","valid_tax_clearance29","registered_with_praz29","tax_status29","site_visit_done29","samples_delivered29","decision29","total29","remarks29","supplier30","payment_terms30","bid_validity30","delivery_period30","technical_specifications30","valid_tax_clearance30","registered_with_praz30","tax_status30","site_visit_done30","samples_delivered30","decision30","total30","remarks30","status","user1","status_1","date_1","user2","status_2","date_2","user3","status_3","date_3","user4","status_4","date_4","user5","status_5","date_5","user6","status_6","date_6","user7","status_7","date_7","user8","status_8","date_8","user9","status_9","date_9","user10","status_10","date_10","finance_user","finance_status","finance_date","gm_user","gm_status","gm_date","recommendation","ranking1","ranking2","ranking3","ranking4","ranking5","order_number","reason_1","reason_2","reason_3","order_date","order_status","payment_status","grn_delivery_status","grn_status","site_visit_required","samples_required"
,"TINY SAFE",,"on","on","on","on","on","on",,,,"on","0",,"AGRISOFT AFRICA VENTURES","on","on","on","on","0","on","on","on",,,,,"CURRENTWISH INVESTMENTS","on","on","on","on","on","on",,,,"on","0",,"HOSAK ENGINEERING",,"on","on","on","on","on",,,,,"0","PAYMENT TERMS IMMEDIATELY AFTER DELIVERY","BRUTAMINE ENTRPRISES","on","on","on","on","on","on",,,,"on","0",,"DANVILL CAPITAL",,,,"on","on",,,,,,"0","ATTACHED PRAZ FOR  MINING EQUIPMENT PAYMENT TERMS 7 DAYS. DELIVERY PERIOD  7 DAYS , QUOTATION VALIDITY PERIOD 7 DAYS",,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"5","ze336785","1","2022-04-26 10:37:13","ze325058","1","2024-04-12 11:33:58","ZE9141359","1","2024-04-16 05:48:57","ze52000","0","0000-00-00 00:00:00","ze263567","0","0000-00-00 00:00:00",,"1","2024-04-29 07:37:52",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"2","2024-04-26 08:18:56",,"0","0000-00-00 00:00:00"," BARCELOS FLAME GRILLED CHICKEN being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$ excluding VAT.","BARCELOS FLAME GRILLED CHICKEN",,,,,,,"APPEARS TO BE A DUPLICATE 25042024
",,"0000-00-00","0",,,"0","no","no"
"TD21111792","CAFCA","10219987","on",,"on","on","on","on",,,,,"540158.4","BID VALIDITY PERIOD IS 24 HRS INSTEAD OF 30 DAYS","DIAMOND ELECTRICAL","on","on","on","on","1260000","on","on","on",,,,,"SWORD WEAR","on","on","on","on","on","on",,,,"on","1080000",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"4","ze332259","0","0000-00-00 00:00:00","ze325058","0","0000-00-00 00:00:00","ze233366","1","2021-11-17 10:34:32","ze333352","0","0000-00-00 00:00:00","ze263567","0","0000-00-00 00:00:00",,"2","2021-12-18 07:55:31",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00"," SWORD WEAR being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$1080000 excluding VAT.","SWORD WEAR","DIAMOND ELECTRICAL",,,,,"This must have been misposted to me",,,"0000-00-00","0",,,"0","no","no"
"TD21111884","SWORD WEAR","10214996","on","on","on","on","on","on",,,,"on","716800",,"EULONE INVESTMENTS","on","on","on",,"725760","on","on",,,,,"Bidder rejected wrong PRAZ category","DAYBREAK INVESTMENTS","on","on","on","on","on","on",,,,"on","591203.2",,"AGRISOFT AFRICA VENTURES","on","on","on","on","on","on",,,,"on","1074976",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"5","ze332259","1","2021-12-07 07:12:09","ze325058","1","2021-12-10 07:05:00","ze345024","1","2021-11-18 08:58:24","ze248657","1","2021-12-21 10:27:58","ze263567","1","2021-11-18 14:28:04",,"2","2022-05-04 08:43:57",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2021-12-21 12:06:10","ze043110","1","2021-12-23 10:55:37"," DAYBREAK INVESTMENTS being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$591203.2 excluding VAT.","DAYBREAK INVESTMENTS","SWORD WEAR","AGRISOFT AFRICA VENTURES",,,"4500222471","Not part of the Committee",,,"2021-12-03","1",,,"0","no","no"
"TD21113018","EULONE INVESTMENTS","10219417","on","on","on","on","on","on",,,,"on","1890000","Eulone is the only bidder and is therefore recommended to provide services",,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"4",,"2","2022-05-04 08:44:45","ze325058","1","2021-12-10 07:06:18","ze261084","1","2021-11-30 11:01:47","ze296538","1","2021-12-16 08:53:04",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2021-12-16 12:20:58","ze043110","1","2021-12-20 15:52:59"," EULONE INVESTMENTS being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$1890000 excluding VAT.","EULONE INVESTMENTS",,,,,"4500223394","Not part of the Committee",,,"2021-12-28","1",,,"0","no","no"
"TD21120865","ELOTECH INVESTMENTS","10220530","on","on","on","on","on","on",,,,"on","2450000","Elotech Investments is the lowest bidder for HP 55A","LAST PACK TECHNOLOGY","on","on","on","on","2565000","on","on","on",,,,"Last Pack Technologies is the lowest bidder for HP 05 A","TOUCHSTONE INVESTMENTS","on","on","on","on","on","on",,,,"on","3150000","Compliant but has high price","STAMAN INVESTMENTS","on","on","on","on","on","on",,,,"on","3262500","Compliant but has high price","ROUXGOLD",,,"on","on","on","on",,,,,"17057394","Not compliant","GROOVEYARD MARKETING","on",,"on","on","on","on",,,,,"4931050","Not compliant",,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"4","ze294136","1","2021-12-13 12:27:17","ze325058","1","2021-12-10 07:13:06","ze261084","1","2021-12-08 15:21:03","ze243973","1","2021-12-15 08:20:38",,"2","2022-05-04 08:48:51",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2021-12-16 12:22:14","ze043110","1","2021-12-20 15:52:28"," ELOTECH INVESTMENTS being the lowest bidder having complied with all the requirements is recommended to supply 20 HP 55A at a total cost of RTGS$600000 excluding VAT. Last Pack Technologies is the lowest bidder for HP 05A and is recommended to supply 20 HP 05A  at a total order value of RTGS$361000.","ELOTECH INVESTMENTS","LAST PACK TECHNOLOGY","TOUCHSTONE INVESTMENTS","STAMAN INVESTMENTS",,"4500223290","Not part to the Committee",,,"2021-12-24","1",,,"0","no","no"
"TD21120923","CAFCA","10215905","on",,"on","on","on","on",,,,,"4073475","BID VALIDITY 24HOURS","SWORD WEAR","on","on","on","on","606000","on","on","on",,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"5","ze277479","1","2021-12-15 14:30:15","ze325058","1","2021-12-10 09:06:25","ze296546","1","2021-12-09 11:08:11","ze243973","1","2021-12-15 08:22:01","ze233366","1","2021-12-13 14:04:41",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2021-12-16 12:24:23","ze043110","1","2021-12-20 15:51:47"," SWORD WEAR having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$606000 excluding VAT.","SWORD WEAR",,,,,"4500223232",,,,"2021-12-23","1",,,"0","no","no"
"TD21120944","SWORD WEAR","10221809","on","on","on","on","on","on",,,,"on","1240000",,"AGRISOFT AFRICA VENTURES","on","on","on","on","2461755.5","on","on","on",,,,,"UNITRACK CONSULTING ENGINEERS","on","on","on","on","on","on",,,,"on","2640000",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"5","ze277479","0","0000-00-00 00:00:00","ze325058","2","2021-12-10 09:13:01","ze296546","1","2021-12-09 10:22:12","ze243973","0","0000-00-00 00:00:00","ze233366","0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00"," NO BIDDER WAS AWARDED IT IS ABOVE THRESHOLD","SWORD WEAR","AGRISOFT AFRICA VENTURES","UNITRACK CONSULTING ENGINEERS",,,,"Amount is above threshold",,,"0000-00-00","0",,,"0","no","no"
"TD21120971","SWORD WEAR","10221805","on","on","on","on","on","on",,,,"on","285000",,"AGRISOFT AFRICA VENTURES","on","on","on","on","364500","on","on","on",,,,,"UNITRACK CONSULTING ENGINEERS","on","on","on","on","on","on",,,,"on","447423.3",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"5","ze277479","1","2021-12-15 14:29:52","ze325058","1","2021-12-10 09:10:24","ze296546","1","2021-12-09 10:38:03","ze243973","1","2021-12-15 08:21:42","ze233366","1","2021-12-13 14:04:08",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze301736","1","2021-12-16 12:23:37","ze043110","1","2021-12-20 15:52:11"," SWORD WEAR being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$285000 excluding VAT.","SWORD WEAR","AGRISOFT AFRICA VENTURES","UNITRACK CONSULTING ENGINEERS",,,"4500223233",,,,"2021-12-23","1",,,"0","no","no"
"TD21120977","SWORD WEAR","10221370","on","on","on","on","on","on",,,,"on","13400000",,"UNITRACK CONSULTING ENGINEERS","on","on","on","on","26250000","on","on","on",,,,,"STANMEC INVESTMENTS",,"on","on","on","on",,,,,,"37406100",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"5","ze277479","0","0000-00-00 00:00:00","ze325058","2","2021-12-10 09:09:10","ze296546","1","2021-12-09 10:50:48","ze243973","0","0000-00-00 00:00:00","ze233366","0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00"," NO BIDDER WAS AWARDED AMOUNT EXCEEDS THRESHOLD","SWORD WEAR","UNITRACK CONSULTING ENGINEERS",,,,,"Tender amount exceeds threshold",,,"0000-00-00","0",,,"0","no","no"
"TD21120979","CAFCA","10215905","on",,"on","on","on","on",,,,,"4073475","BID VALIDITY 24HOURS","SWORD WEAR","on","on","on","on","606000","on","on","on",,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,,,,,,,,,,,,"0",,"5","ze277479","1","2021-12-15 08:44:51","ze325058","0","0000-00-00 00:00:00","ze296546","1","2021-12-09 11:08:11","ze243973","0","0000-00-00 00:00:00","ze233366","0","0000-00-00 00:00:00",,"2","2021-12-18 07:56:25",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00"," SWORD WEAR having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$606000 excluding VAT.","SWORD WEAR",,,,,,"This must have been misposted to me",,,"0000-00-00","0",,,"0","no","no"
