"document_id","supplier1","rfq_no","payment_terms1","bid_validity1","delivery_period1","technical_specifications1","valid_tax_clearance1","registered_with_praz1","site_visit_done1","samples_delivered1","decision1","total1","remarks1","supplier2","payment_terms2","bid_validity2","delivery_period2","decision2","total2","technical_specifications2","valid_tax_clearance2","registered_with_praz2","site_visit_done2","samples_delivered2","remarks2","supplier3","payment_terms3","bid_validity3","delivery_period3","technical_specifications3","valid_tax_clearance3","registered_with_praz3","site_visit_done3","samples_delivered3","decision3","total3","remarks3","supplier4","payment_terms4","bid_validity4","delivery_period4","technical_specifications4","valid_tax_clearance4","registered_with_praz4","site_visit_done4","samples_delivered4","decision4","total4","remarks4","supplier5","payment_terms5","bid_validity5","delivery_period5","technical_specifications5","valid_tax_clearance5","registered_with_praz5","site_visit_done5","samples_delivered5","decision5","total5","remarks5","supplier6","payment_terms6","bid_validity6","delivery_period6","technical_specifications6","valid_tax_clearance6","registered_with_praz6","site_visit_done6","samples_delivered6","decision6","total6","remarks6","supplier7","payment_terms7","bid_validity7","delivery_period7","technical_specifications7","valid_tax_clearance7","registered_with_praz7","site_visit_done7","samples_delivered7","decision7","total7","remarks7","supplier8","payment_terms8","bid_validity8","delivery_period8","technical_specifications8","valid_tax_clearance8","registered_with_praz8","site_visit_done8","samples_delivered8","decision8","total8","remarks8","supplier9","payment_terms9","bid_validity9","delivery_period9","technical_specifications9","valid_tax_clearance9","registered_with_praz9","site_visit_done9","samples_delivered9","decision9","total9","remarks9","supplier10","payment_terms10","bid_validity10","delivery_period10","technical_specifications10","valid_tax_clearance10","registered_with_praz10","site_visit_done10","samples_delivered10","decision10","total10","remarks10","supplier11","payment_terms11","bid_validity11","delivery_period11","technical_specifications11","valid_tax_clearance11","registered_with_praz11","site_visit_done11","samples_delivered11","decision11","total11","remarks11","supplier12","payment_terms12","bid_validity12","delivery_period12","technical_specifications12","valid_tax_clearance12","registered_with_praz12","site_visit_done12","samples_delivered12","decision12","total12","remarks12","supplier13","payment_terms13","bid_validity13","delivery_period13","technical_specifications13","valid_tax_clearance13","registered_with_praz13","site_visit_done13","samples_delivered13","decision13","total13","remarks13","supplier14","payment_terms14","bid_validity14","delivery_period14","technical_specifications14","valid_tax_clearance14","registered_with_praz14","site_visit_done14","samples_delivered14","decision14","total14","remarks14","supplier15","payment_terms15","bid_validity15","delivery_period15","technical_specifications15","valid_tax_clearance15","registered_with_praz15","site_visit_done15","samples_delivered15","decision15","total15","remarks15","supplier16","payment_terms16","bid_validity16","delivery_period16","technical_specifications16","valid_tax_clearance16","registered_with_praz16","site_visit_done16","samples_delivered16","decision16","total16","remarks16","supplier17","payment_terms17","bid_validity17","delivery_period17","technical_specifications17","valid_tax_clearance17","registered_with_praz17","site_visit_done17","samples_delivered17","decision17","total17","remarks17","supplier18","payment_terms18","bid_validity18","delivery_period18","technical_specifications18","valid_tax_clearance18","registered_with_praz18","site_visit_done18","samples_delivered18","decision18","total18","remarks18","supplier19","payment_terms19","bid_validity19","delivery_period19","technical_specifications19","valid_tax_clearance19","registered_with_praz19","site_visit_done19","samples_delivered19","decision19","total19","remarks19","supplier20","payment_terms20","bid_validity20","delivery_period20","technical_specifications20","valid_tax_clearance20","registered_with_praz20","site_visit_done20","samples_delivered20","decision20","total20","remarks20","status","user1","status_1","date_1","user2","status_2","date_2","user3","status_3","date_3","user4","status_4","date_4","user5","status_5","date_5","user6","status_6","date_6","user7","status_7","date_7","user8","status_8","date_8","user9","status_9","date_9","user10","status_10","date_10","finance_user","finance_status","finance_date","gm_user","gm_status","gm_date","recommendation","ranking1","ranking2","ranking3","ranking4","ranking5","order_number","reason_1","reason_2","reason_3","order_date","order_status","payment_status","grn_delivery_status","grn_status","site_visit_required","samples_required"
,"Jeremy Healthcare",,"on","on","on","on","on","on",,,"on","0","MEET REQUIRED SPECIFICATIONS","Sustainable Procurement Solutions","on","on","on",,"0","on","on",,,,"WRONG PRAZ CATEGORY","TOP EDGE MEDICAL SUPPLIES",,"on","on","on","on","on",,,,"0","INVALID TAX CERTIFICATE AND PAYMENT UPFRONT","FELDOM",,"on","on",,"on",,,,,"0","NOT COMPLYING ON PAYMENT TERMS AND WRONG PRAZ CATEGORY","Nemchem","on",,"on","on","on","on",,,,"0","WRONG PRAZ CATEGORY","Quartile Healthcare","on","on","on","on","on","on",,,"on","0","MEET REQUIRED SPECIFICATIONS","BOOTIES PHARMACIES","on","on","on","on","on","on",,,"on","0","MEET REQUIRED SPECIFICATIONS","Belgravia Medicals ","on","on","on","on","on","on",,,"on","0","MEET REQUIRED SPECIFICATIONS","NEWAVAKASH INTERNATIONAL","on","on","on","on","on","on",,,"on","0","MEET REQUIRED SPECIFICATIONS","ALL CLEAN","on",,"on",,"on",,,,,"0","WRONG PRAZ CATEGORY AND NOT COMPLYING ON BID VALIDITY","MAVECHIC INVESTMENTS","on","on","on","on","on",,,,,"0","WRONG PRAZ CATEGORY","CHEMODRAS","on","on","on","on","on","on",,,"on","0","MEET REQUIRED SPECIFICATIONS",,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,"5","ze296821","0","0000-00-00 00:00:00","ze232343","0","0000-00-00 00:00:00","ze361074","1","2022-10-19 14:09:17","ze318833","0","0000-00-00 00:00:00","ze248614","1","2022-11-22 14:33:16",,"1","2021-06-24 15:29:35",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze281417","1","2021-08-06 14:16:05","ze045210","1","2022-01-26 12:27:57"," ELEGANT EDGE being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of RTGS$ excluding VAT.","ELEGANT EDGE","WESTLES HOME AND OFFICE",,,,,,"Were the swivel chairs seen and approved by the users?","Procure from reputable suppliers.","0000-00-00","0",,,"0",,
"TD18100313","Moeni Enterprises P/L","10152646","on","on","on",,,,,,,"2250",,"Loworld Media","on","on","on",,"5550",,,,,,,"Plenthope Investments P/L","on","on","on","on",,,,,"on","7260",,"Active Marketing International","on","on","on",,,,,,,"6108.9",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,"5","ze307262","1","2018-10-04 13:30:29","ze335746","1","2018-10-04 08:46:27","ze37753","1","2018-10-03 14:51:03","ze318833","1","2018-10-04 08:42:50","ze57746","1","2018-10-04 08:49:15",,"2","2019-02-25 09:22:20",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze281417","2","2018-10-05 12:57:11",,"0","0000-00-00 00:00:00"," Plenthope Investments P/L being the lowest bidder having complied with all the requirements is recommended to provide the service at a total cost of US$7260 excluding VAT.","Plenthope Investments P/L",,,,,,"already approved",,,"0000-00-00","0",,,"0",,
"TD18100413","Moeni Enterprises P/L","10152642","on","on","on","on",,,,,"on","1080",,"Plenthope Investments P/L","on","on","on","on","1188","on",,,,,,"Loworld Media","on","on","on",,,,,,,"1800",,"Active Marketing International","on","on","on",,,,,,,"840",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,"6","ze307262","1","2018-10-04 13:31:17","ze335746","1","2018-10-04 09:28:10","ze37753","1","2018-10-04 09:20:33","ze318833","1","2018-10-04 09:30:21","ze57746","1","2018-10-04 09:25:16","ze260932","1","2018-10-04 09:32:19",,"2","2019-02-25 09:23:28",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze281417","1","2018-10-05 12:58:49","ze043110","1","2018-10-05 13:21:34"," Moeni Enterprises P/L being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of US$1080.00 excluding VAT.","Moeni Enterprises P/L","Plenthope Investments P/L",,,,"4500165912","already approved",,,"0000-00-00","0",,,"0",,
"TD18100414","Havedanso","10155806","on","on","on","on",,,,,"on","9900",,"Coar Sign ","on","on","on","on","9000","on",,,,,,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,"4","ze307262","1","2018-10-04 13:33:30","ze335746","1","2018-10-04 11:02:19","ze37753","1","2018-10-04 10:39:10","ze336912","1","2018-10-04 10:42:08",,"2","2021-05-20 08:29:50",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze281417","2","2018-10-05 13:01:23",,"0","0000-00-00 00:00:00"," Coar Sign  being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of US$9000 excluding VAT.","Coar Sign ","Havedanso",,,,,"outdated ",,,"0000-00-00","0",,,"0",,
"TD18100415","Havedonso","10155804","on","on","on","on",,,,,"on","9900",,"Coar Sign ","on","on","on","on","9000","on",,,,,,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,"4","ze307262","1","2018-10-04 13:34:09","ze335746","1","2018-10-04 11:02:40","ze37753","1","2018-10-04 10:49:21","ze336912","1","2018-10-04 10:50:11",,"2","2022-01-24 11:17:55",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze281417","2","2018-10-05 13:03:07",,"0","0000-00-00 00:00:00"," Coar Sign  being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of US$9000 excluding VAT.","Coar Sign ","Havedonso",,,,,"OVERTAKEN BY EVENTS",,,"0000-00-00","0",,,"0",,
"TD18100416","Havedonso","10155805","on","on","on","on",,,,,"on","9900",,"Coar Sign ","on","on","on","on","9000","on",,,,,,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,"4","ze307262","1","2018-10-04 13:34:40","ze335746","1","2018-10-04 11:03:03","ze37753","1","2018-10-04 10:57:11","ze336912","1","2018-10-04 10:58:01",,"2","2022-01-24 11:18:11",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze281417","1","2018-10-05 13:08:14","ze043110","1","2018-10-05 13:22:22"," Coar Sign  being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of US$9000 excluding VAT.","Coar Sign ","Havedonso",,,,"4500165490","OVERTAKEN BY EVENTS",,,"0000-00-00","0",,,"0",,
"TD18100417","RBS Commercial Supplies","10154709","on","on","on","on",,,,,"on","9000",,"Pure Chemical","on","on","on","on","5400","on",,,,,,"Welding & Engineering Supplies","on","on","on","on",,,,,"on","4930",,"Havedonso Enterprises P/L","on","on","on","on",,,,,"on","4800",,"Tetra Technologies","on","on","on","on",,,,,"on","6659",,"Shamlong Trading P/L","on","on","on","on",,,,,"on","0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,"4","ze307262","1","2018-10-04 13:32:46","ze335746","1","2018-10-04 12:24:32","ze37753","1","2018-10-04 12:17:20","ze336912","1","2018-10-24 13:42:42",,"2","2019-02-25 09:27:42",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze281417","2","2018-10-25 09:18:30",,"0","0000-00-00 00:00:00"," Havedonso Enterprises P/L being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of US$4800 excluding VAT.","Havedonso Enterprises P/L","Welding & Engineering Supplies","Pure Chemical","Shamlong Trading P/L","Tetra Technologies",,"not for me","Shamlog attachment is not quotation but itf 263",,"0000-00-00","0",,,"0",,
"TD18100813","Havedonso","10154704","on","on","on","on",,,,,"on","9900",,"Coar Sign ","on","on","on","on","9000","on",,,,,,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,"4","ze307262","1","2018-10-08 10:36:03","ze335746","1","2018-10-08 12:55:05","ze37753","1","2018-10-08 09:41:47","ze336912","1","2018-10-24 13:42:55",,"2","2019-02-25 09:34:40",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze281417","1","2018-10-25 09:19:49","ze043110","1","2018-10-29 07:21:29"," Coar Sign  being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of US$9000 excluding VAT.","Coar Sign ","Havedonso",,,,"4500163547","not for me",,,"2018-09-18","0",,,"0",,
"TD18100816","Havedonso","10154706","on","on","on","on",,,,,"on","9900",,"Coar Sign ","on","on","on","on","9000","on",,,,,,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,"4","ze307262","1","2018-10-08 10:36:45","ze335746","1","2018-10-08 12:55:47","ze37753","1","2018-10-08 09:48:32","ze336912","1","2018-10-24 13:43:18",,"2","2022-01-24 11:18:28",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze281417","1","2018-10-25 09:21:18","ze043110","1","2018-10-29 07:21:52"," Coar Sign  being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of US$9000 excluding VAT.","Coar Sign ","Havedonso",,,,"4500166715","OVERTAKEN BY EVENTS",,,"2018-11-01","0",,,"0",,
"TD18100819","The Shark","10153956","on","on","on","on",,,,,"on","7199.7",,"Shamlong Trading P/L","on","on","on","on","9000","on",,,,,,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,"4","ze307262","1","2018-10-08 13:09:02","ze232343","1","2018-10-08 13:21:36","ze37753","1","2018-10-08 13:03:07","ze48020","1","2018-10-08 13:24:57",,"2","2019-02-25 09:25:44",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00",,"0","0000-00-00 00:00:00","ze281417","1","2018-10-08 13:37:19","ze043110","1","2018-10-09 15:27:42"," The Shark being the lowest bidder having complied with all the requirements is recommended to provide the goods/service at a total cost of US$7199.7 excluding VAT.","The Shark","Shamlong Trading P/L",,,,"4500165877","Not for me",,,"0000-00-00","0",,,"0",,
