"id","document_id","item_id","sup_id","unit_price","vat","quoted_qty","bid_no","quote_date","rfq_no","total","bid_document"
"132","TD21111792","Item211117604","SUP546","13503.96","excl","40","1","2021-11-10","10219987","540158.4","bids/Xerox Scan_17112021112626.PDF"
"133","TD21111792","Item211117604","SUP175","31500","excl","40","2","2021-11-11","10219987","1260000","bids/Xerox Scan_17112021112646.PDF"
"134","TD21111792","Item211117604","SUP954","27000","excl","40","3","2021-11-11","10219987","1080000","bids/Xerox Scan_17112021112708.PDF"
"136","TD21111884","Item211118468","SUP954","1280","excl","560","1","2021-11-05","10214996","716800","bids/Xerox Scan_18112021102706.PDF"
"137","TD21111884","Item211118468","SUP524","1055.72","excl","560","2","2021-11-04","10214996","591203.2","bids/Xerox Scan_18112021102726.PDF"
"138","TD21111884","Item211118468","SUP524","1296","excl","560","2","2021-11-04","10214996","725760","bids/1637225482Xerox Scan_18112021102726.PDF"
"139","TD21111884","Item211118468","SUP921","1055.72","excl","560","3","2021-11-05","10214996","591203.2","bids/Xerox Scan_18112021102749.PDF"
"140","TD21111884","Item211118468","SUP998","1919.6","excl","560","4","2021-11-05","10214996","1074976","bids/Xerox Scan_18112021102809.PDF"
"141","TD21113018","Item211130867","SUP524","1890000","excl","1","1","2021-11-12","10219417","1890000","bids/Xerox Scan_30112021112118.PDF"
"142","TD21120865","Item211208555","SUP617","30000","excl","50","1","2021-12-02","10220530","2450000","bids/Xerox Scan_08122021162916.PDF"
"143","TD21120865","Item211208663","SUP617","19000","excl.","50","1","2021-12-02","10220530","2450000","bids/Xerox Scan_08122021162916.PDF"
"144","TD21120865","Item211208555","SUP625","33250","excl","50","2","2021-12-02","10220530","2565000","bids/Xerox Scan_08122021162942.PDF"
"145","TD21120865","Item211208663","SUP625","18050","excl","50","2","2021-12-02","10220530","2565000","bids/Xerox Scan_08122021162942.PDF"
"146","TD21120865","Item211208555","SUP14","43500","excl","50","3","2021-12-02","10220530","3150000","bids/Xerox Scan_08122021163008.PDF"
"147","TD21120865","Item211208663","SUP14","19500","excl","50","3","2021-12-02","10220530","3150000","bids/Xerox Scan_08122021163008.PDF"
"148","TD21120865","Item211208555","SUP536","39900","excl","50","4","2021-12-02","10220530","3262500","bids/Xerox Scan_08122021163046.PDF"
"149","TD21120865","Item211208663","SUP536","25350","excl","50","4","2021-12-02","10220530","3262500","bids/Xerox Scan_08122021163046.PDF"
"150","TD21120865","Item211208555","SUP277","292840.29","excl","50","5","2021-12-02","10220530","17057394","bids/Xerox Scan_08122021163106.PDF"
"151","TD21120865","Item211208663","SUP277","48307.59","excl","50","5","2021-12-02","10220530","17057394","bids/Xerox Scan_08122021163106.PDF"
"152","TD21120865","Item211208555","SUP783","59845","excl","50","6","2021-12-02","10220530","4931050","bids/Xerox Scan_08122021163139.PDF"
"153","TD21120865","Item211208663","SUP783","38776","excl","50","6","2021-12-02","10220530","4931050","bids/Xerox Scan_08122021163139.PDF"
"154","TD21120999","Item211209395","SUP177","28700","excl","40","1","2021-12-02","10212229","1176000","bids/Xerox Scan_08122021163223.PDF"
"155","TD21120999","Item211209394","SUP177","700","excl.","40","1","2021-12-02","10212229","1176000","bids/Xerox Scan_08122021163223.PDF"
"156","TD21120999","Item211209395","SUP538","43750","excl","40","2","2021-12-02","10212229","1794000","bids/Xerox Scan_08122021163246.PDF"
"157","TD21120999","Item211209394","SUP538","1100","excl","40","2","2021-12-02","10212229","1794000","bids/Xerox Scan_08122021163246.PDF"
"158","TD21120999","Item211209395","SUP28","46000","excl","40","3","2021-12-02","10212229","1888000","bids/Xerox Scan_08122021163313.PDF"
"159","TD21120999","Item211209394","SUP28","1200","excl","40","3","2021-12-02","10212229","1888000","bids/Xerox Scan_08122021163313.PDF"
"160","TD21120999","Item211209395","SUP998","71300","excl","40","4","2021-12-02","10212229","2940000","bids/Xerox Scan_08122021163349.PDF"
"161","TD21120999","Item211209394","SUP998","2200","excl","40","4","2021-12-02","10212229","2940000","bids/Xerox Scan_08122021163349.PDF"
"162","TD21120999","Item211209395","SUP422","98500","excl","40","5","2021-12-02","10212229","3960000","bids/Xerox Scan_08122021163414.PDF"
"163","TD21120999","Item211209394","SUP422","500","excl","40","5","2021-12-02","10212229","3960000","bids/Xerox Scan_08122021163414.PDF"
"164","TD21120979","Item211209789","SUP546","27156.5","excl","15","1","2021-12-09","10215905","407347.5","bids/Xerox Scan_09122021104726.PDF"
"165","TD21120979","Item211209789","SUP954","40400","excl","15","2","2021-12-09","10215905","606000","bids/Xerox Scan_09122021104749.PDF"
"166","TD21120944","Item211209432","SUP954","24800","excl","50","1","2021-12-07","10221809","1240000","bids/Xerox Scan_09122021104254.PDF"
"167","TD21120944","Item211209432","SUP229","49235.11","excl","50","2","2021-12-07","10221809","2461755.5","bids/Xerox Scan_09122021104318.PDF"
"168","TD21120944","Item211209432","SUP998","52800","excl","50","3","2021-12-08","10221809","2640000","bids/Xerox Scan_09122021104340.PDF"
"169","TD21120944","Item211209432","SUP229","49235.11","excl","50","2","2021-12-07","10221809","2461755.5","bids/1639045006Xerox Scan_09122021104318.PDF"
"170","TD21120944","Item211209432","SUP998","52800","excl","50","3","2021-12-08","10221809","2640000","bids/1639045057Xerox Scan_09122021104340.PDF"
"171","TD21120971","Item211209168","SUP954","19000","excl","15","1","2021-12-07","10221805","285000","bids/Xerox Scan_09122021104432.PDF"
"172","TD21120971","Item211209168","SUP998","24300","excl","15","2","2021-12-08","10221805","364500","bids/Xerox Scan_09122021104450.PDF"
"173","TD21120971","Item211209168","SUP229","29828.22","excl","15","3","2021-12-07","10221805","447423.3","bids/Xerox Scan_09122021104512.PDF"
"174","TD21120977","Item211209527","SUP954","26800","excl","500","1","2021-12-07","10221370","13400000","bids/Xerox Scan_09122021104549.PDF"
"175","TD21120977","Item211209527","SUP510","52500","excl","500","2","2021-12-07","10221370","26250000","bids/Xerox Scan_09122021104611.PDF"
"176","TD21120977","Item211209527","SUP229","74812.2","excl","500","3","2021-12-07","10221370","37406100","bids/Xerox Scan_09122021104632.PDF"
"177","TD21120923","Item211209542","SUP546","271565","excl","15","1","2021-12-09","10215905","4073475","bids/1639047924Xerox Scan_09122021104726.PDF"
"178","TD21120923","Item211209542","SUP954","40400","excl","15","2","2021-12-07","10215905","606000","bids/1639047969Xerox Scan_09122021104749.PDF"
"179","TD21120994","Item211209392","SUP578","788310","excl","1","1","2021-11-16","10212379","788310","bids/Xerox Scan_09122021125106.PDF"
"180","TD21120994","Item211209392","SUP464","27264.74","excl","1","2","2021-11-17","10212379","27264.74","bids/Xerox Scan_09122021125159.PDF"
"181","TD21120917","Item211209216","SUP177","28700","excl","40","1","2021-12-02","10212229","1176000","bids/1639056436Xerox Scan_08122021163223.PDF"
