"id","document_id","item_id","sup_id","unit_price","vat","quoted_qty","bid_no","quote_date","rfq_no","total","bid_document"
"12","TD18100313","Item181003732","SUP76","18","excl","100","1","2018-09-13","10152646","2250","bids/Moeni2.pdf"
"13","TD18100313","Item1810031","SUP76","20","excl.","10","1","2018-09-13","10152646","2250","bids/Moeni2.pdf"
"14","TD18100313","Item181003346","SUP76","25","excl.","10","1","2018-09-13","10152646","2250","bids/Moeni2.pdf"
"15","TD18100313","Item181003732","SUP286","45","excl","100","2","2018-09-13","10152646","5550","bids/Lowworld - Copy.pdf"
"16","TD18100313","Item1810031","SUP286","50","excl","10","2","2018-09-13","10152646","5550","bids/Lowworld - Copy.pdf"
"17","TD18100313","Item181003346","SUP286","55","excl","10","2","2018-09-13","10152646","5550","bids/Lowworld - Copy.pdf"
"18","TD18100313","Item181003732","SUP299","66","excl","100","3","2018-09-13","10152646","7260","bids/Plenthope.pdf"
"19","TD18100313","Item1810031","SUP299","66","excl","10","3","2018-09-13","10152646","7260","bids/Plenthope.pdf"
"20","TD18100313","Item181003346","SUP299","0","excl","10","3","2018-09-13","10152646","7260","bids/Plenthope.pdf"
"21","TD18100313","Item181003732","SUP577","46.83","excl","100","4","2018-10-14","10152646","6108.9","bids/Active - Copy.pdf"
"22","TD18100313","Item1810031","SUP577","81.97","excl","10","4","2018-10-14","10152646","6108.9","bids/Active - Copy.pdf"
"23","TD18100313","Item181003346","SUP577","60.62","excl","10","4","2018-10-14","10152646","6108.9","bids/Active - Copy.pdf"
"24","TD18100413","Item181004975","SUP76","9","excl","120","1","2018-09-13","10152642","1080","bids/Moeni Enterprises quotation for sun hats $1080.00.pdf"
"25","TD18100413","Item181004975","SUP299","9.9","excl","120","2","2018-09-13","10152642","1188","bids/Plenthope Investments quotation  for sun hats $1366.20.pdf"
"26","TD18100413","Item181004975","SUP286","15","excl","120","3","2018-09-13","10152642","1800","bids/Lowworld - quotation $8650.00.pdf"
"27","TD18100413","Item181004975","SUP577","7","excl","120","4","2018-09-14","10152642","840","bids/Active Marketing - supply & delivery of sun hats for risk symposium workshop  $840.00.pdf"
"28","TD18100414","Item181004429","SUP863","22","excl","450","1","2018-09-19","10155806","9900","bids/Havedonso Numbers 20181004_114459.jpg"
"29","TD18100414","Item181004429","SUP73","20","excl","450","2","2018-09-21","10155806","9000","bids/Coar Sign Tax 20181004_114352.jpg"
"30","TD18100415","Item181004955","SUP755","22","excl","450","1","2018-09-19","10155804","9900","bids/Havedonso Numbers 20181004_114509.jpg"
"31","TD18100415","Item181004955","SUP73","20","excl","450","2","2018-09-21","10155804","9000","bids/1538650038Coar Sign Tax 20181004_114352.jpg"
"32","TD18100416","Item181004766","SUP755","22","excl","450","1","2018-09-19","10155805","9900","bids/Havedonso Numbers 20181004_114544.jpg"
"33","TD18100416","Item181004766","SUP73","20","excl","450","2","2018-09-21","10155805","9000","bids/Coar sign Numbers 20181004_114441.jpg"
"34","TD18100417","Item181004924","SUP919","45","excl","200","1","2018-09-20","10154709","9000","bids/RBS 16 4 core 20181004_115117.jpg"
"35","TD18100417","Item181004924","SUP48","27","excl","200","2","2018-09-19","10154709","5400","bids/Pure Chem 16 4core 20181004_115152.jpg"
"36","TD18100417","Item181004924","SUP971","24.65","excl","200","3","2018-09-20","10154709","4930","bids/Welding Eng 16 4core 20181004_115215.jpg"
"37","TD18100417","Item181004924","SUP886","24","excl","200","4","2018-09-20","10154709","4800","bids/Havedonso 16 4core 20181004_115245.jpg"
