"description","chk"
"Accounting Officer - Billing","0"
"Accounting Officer - Cash","0"
"Accounting Officer - Cost","0"
"Accounting Officer - Creditors","0"
"Accounting Officer - Revenue","0"
"Administration Officer","0"
"Apprentice","0"
"Artisan","0"
"Artisan - Auto","0"
"Artisan - Civil","0"
"Artisan - Electrical","0"
"Artisan - Inspector","0"
"Artisan - Lines","0"
"Artisan - Motor Mech","0"
"Artisan Assistant - Auto","0"
"Artisan Assistant - Civil","0"
"Artisan Assistant - Electrical","0"
"Artisan Assistant - Lines","0"
"Artisan Assistant - Motor Mech","0"
"Attachee","0"
"Auger - Crane Operator","0"
"Chief Risk Officer","0"
"Clerk","0"
"Clerk - Admin","0"
"Clerk - Cash","0"
"Clerk - Commercial","0"
"Clerk - Costs","0"
"Clerk - Personnel","0"
"Clerk - Records","0"
"Clerk - Revenue Assurance","0"
"Clerk - Sales","0"
"Clerk - Stores","0"
"Clerk - Typist","0"
"Clients Services Officer","0"
"Commercial Engineer","0"
"Commercial Manager","0"
"Commercial Officer","0"
"Commercial Supervisor","0"
"Customer Care Clerk","0"
"Depot Clerk","0"
"District Manager","0"
"Draughtsperson","0"
"Engineer","0"
"Engineering Manager","0"
"Finance Manager","0"
"Garage Foreman","0"
"General Manager","0"
"GIS Artisan (Contract)","0"
"GIS Engineer","0"
"GIS Technician","0"
"Guest House Caretaker","0"
"Hardware Technician","0"
"Health and Safety Officer","0"
"Heavy Duty Driver","0"
"HRAM","0"
"Human Resource Officer","0"
"Industrial Relations Officer","0"
"Lead Artisan","0"
"Lineworker","0"
"Loss Control Assistant","0"
"Loss Control Officer","0"
"Loss Controller","0"
"Maintenance Engineer","0"
"Marketing Officer","0"
"Messenger","0"
"Network Development Engineer","0"
"Panel Beater","0"
"Personnel Clerk","0"
"Personnel Officer","0"
"Postgraduate Trainee","0"
"Principal Technician","0"
"Procurement Administrator","0"
"Procurement Officer","0"
"Revenue Assurance Assistant","0"
"Risk Officer","0"
"Sales Analyst","0"
"Sales Executive","0"
"Secretary","0"
"Senior Accountant - FM","0"
"Senior Accountant - MA","0"
"Senior Client Services Officer","0"
"Senior Engineer","0"
"Senior Engineer - Operations and Maintenance","0"
"Senior Engineer - Planning and Design","0"
"Senior Engineer - Projects","0"
"Senior Foreperson","0"
"Senior Loss Control Officer","0"
"Storekeeper","0"
"Stores Assistant","0"
"Stores Clerk","0"
"Switchboard Operator","0"
"Systems Administrator","0"
"Systems Support Officer","0"
"Technical Clerk","0"
"Technician","0"
"Technician - Planning and Design","0"
"Technician Assistant","0"
"Test","0"
"Transport Controller","0"
"Transport Officer","0"
