"adjid","item1","quantity1","supplier1","item1_unitprice","item1_total","supplier1_quotation_date","supplier1_quotation","supplier2","supplier2_unitprice1","supplier2_total1","supplier2_quotation_date","supplier2_quotation","supplier3","supplier3_unitprice1","supplier3_total1","supplier3_quotation_date","supplier3_quotation","description","specifications","award1","pr_number","date_created","section_code","remarks","direct_purchase1","direct_purchase2","direct_purchase3","direct_purchase4","direct_purchase5","direct_purchase6","direct_purchase7","direct_purchase8","direct_purchase9","direct_purchase10","service_type","ace","ace_spec","proc_ref","region"
"D2111158","5MB Powertel WAN link","1","Powertel","172625.01","172625.01","2021-11-12",,,"0","0","0000-00-00",,,"0","0","0000-00-00",,"Upgrade of BE Server WAN link from 512KB to 5MB
NB: This is an upgrade to existing infrastructure from PowerTel hence its the sole service provider",,"Powertel","10220750","2021-11-15 08:07:53","527001",,"direct_purchases/ZETDC WAYNE ST INTERNET UPGRADE 512Kbps -5 MBPS.pdf",,,,,,,,,,"Direct Purchase",,,"acc473320","harare"
"D21111619","2 course meal , desert drinks and water","100","Golden Conifer","400000.00","40000000.00","2021-11-16","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Long Service awards function on 30 November","specs/","Golden Conifer","10220924","2021-11-16 10:50:34","523001",,"direct_purchases/Golden Conifer 30 Nov.pdf",,,,,,,,,,"Direct Purchase",,,"acc473630","harare"
"D21111637","zlg purified water","2","zlg","2100.00","4200.00","2021-11-12","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Mineral water for function room water dispensers ","specs/","zlg","10221004","2021-11-16 13:53:29","523001",,"direct_purchases/scan0023.pdf",,,,,,,,,,"Direct Purchase",,,"acc473620","harare"
"D21111657","Accomodation for 3 Mutare ZESA employees","3","Bronte Hotel","439591.00","1318773.00","2021-11-15",,,"0","0","0000-00-00",,,"0","0","0000-00-00",,"Cable Fault Location",,"Bronte Hotel","10220885","2021-11-16 07:09:32","523001",,"direct_purchases/- Bronte Hotel - Copy.pdf","direct_purchases/- Bronte Hotel.pdf",,,,,,,,,"Direct Purchase",,,"acc473620","harare"
"D21111661","Hire of decorated venue, food and drinks for 100 p","1","Golden Conifer","520000.00","520000.00","2021-11-15","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Long Service Awards Function at Golden Conifer","specs/","Golden Conifer","10220876","2021-11-16 06:41:45","523001",,"direct_purchases/Golden confer 2.pdf",,,,,,,,,,"Direct Purchase",,,"acc473630","harare"
"D21111682","2 course meal , desert drinks and water","100","Golden Conifer","400000.00","40000000.00","2021-11-16","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Long Service awards function","specs/","Golden Conifer","10220925","2021-11-16 10:46:53","523001",,"direct_purchases/Golden Conifer 7 Dec venue.pdf",,,,,,,,,,"Direct Purchase",,,"acc473630","harare"
"D21111687","Hiring of venue and PA System","1","Golden Conifer","222000.00","22200000.00","2021-11-16","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Long Service and Awards function on 7 December 2021","specs/","Golden Conifer","10220928","2021-11-16 10:58:58","523001",,"direct_purchases/1637060338Golden Conifer 7 Dec venue.pdf",,,,,,,,,,"Direct Purchase",,,"acc473630","harare"
"D21111688","Hiring of venue and PA System","100","Golden Conifer","222000.00","22200000.00","2021-11-16","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Venue and PA System for Long Service awards","specs/","Golden Conifer","10220926","2021-11-16 10:56:11","523001",,"direct_purchases/Golden Conifer 30 Nov Venue.pdf",,,,,,,,,,"Direct Purchase",,,"acc473630","harare"
"D21111879","CCNA Training for 9 I. T. personnel","9","TelOne","29616.67","266550.03","2021-11-12",,,"0","0","0000-00-00",,,"0","0","0000-00-00",,"CCNA Training for 9 I. T. personnel",,"TelOne","10221035","2021-11-18 14:26:46","527001",,"direct_purchases/ZETDC Quote 1.pdf",,,,,,,,,,"Direct Purchase",,,"acc473660","harare"
"D21111938","CCNA Training for 9 I. T. personnel to be done at","9","TelOne","29616.67","266550.03","2021-11-12",,,"0","0","0000-00-00",,,"0","0","0000-00-00",,"CCNA Training for 9 I. T. personnel
NB: Sole supplier of the tailored service",,"TelOne","10221035","2021-11-19 06:42:10","527001",,"direct_purchases/ZETDC Quote 2.pdf",,,,,,,,,,"Direct Purchase",,,"acc473660","harare"
