"adjid","status1","section_code1","update_user1","status2","status3","status4","status5","update_user2","update_user3","update_user4","update_user5","section_code2","section_code3","section_code4","section_code5","id","update_date1","update_date2","update_date3","update_date4","checked","checked_by","check_date","reason","reason_1","reason_2","reason_3","reason_4","order_status","order_number","payment_status","grn_delivery_status","grn_status"
"D2111158","1","527001","ze291463","2","3","4","5","ze294136","ze263567","ze301736","ze043110"," "," "," "," ","129","2021-11-19 08:28:40","2021-11-30 14:43:02","2021-12-14 12:58:57","2021-12-20 17:49:28","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21111619","1","523001","ze347558","1","0","0","0","ze309702"," "," "," "," "," "," "," ","133","2021-11-19 09:52:29","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","Redo and include all the costs"," "," "," ","0",,,,"0"
"D21111637","1","523001","ze296538","2","3","4","5","ze309702","ze263567","ze301736","ze043110"," "," "," "," ","136","2021-11-19 09:48:57","2021-11-30 14:40:13","2021-12-14 12:59:01","2021-12-20 17:49:19","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
"D21111657","1","523001","ze347558","1","0","0","0","ze309702","ze263567"," "," "," "," "," "," ","131","2021-11-19 10:00:15","2021-11-18 15:25:30","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","Redo and attach PRAZ registration","No praz attached and quotation"," "," ","0",,,,"0"
"D21111661","1","523001","ze347558","1","0","0","0","ze309702"," "," "," "," "," "," "," ","130","2021-11-16 11:52:23","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","May you please separate venue and food. "," "," "," ","0",,,,"0"
"D21111682","1","523001","ze347558","1","0","0","0","ze309702"," "," "," "," "," "," "," ","132","2021-11-19 09:52:55","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","Redo and include all the costs"," "," "," ","0",,,,"0"
"D21111687","1","523001","ze347558","1","0","0","0","ze309702"," "," "," "," "," "," "," ","135","2021-11-19 09:49:48","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","Redo with all the cost"," "," "," ","0",,,,"0"
"D21111688","1","523001","ze347558","1","0","0","0","ze309702"," "," "," "," "," "," "," ","134","2021-11-19 09:52:03","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","Redo and include all the costs"," "," "," ","0",,,,"0"
"D21111879","1","527001","ze226580","1","0","0","0","ze294136"," "," "," "," "," "," "," ","137","2021-11-19 08:37:40","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"," ","0000-00-00 00:00:00"," ","Attach correct quote"," "," "," ","0",,,,"0"
"D21111938","1","527001","ze226580","2","3","4","5","ze294136","ze263567","ze301736","ze043110"," "," "," "," ","138","2021-11-19 08:58:05","2021-11-30 14:42:46","2021-12-14 12:59:06","2021-12-20 17:49:12","0"," ","0000-00-00 00:00:00"," ",,,,,"0",,,,"0"
