,document_id,item_id,sup_id,status,message
0,D2111158,,,SUCCESS,SUCCESS
1,D2111158,,,SUCCESS,SUCCESS
2,D21111619,,,SUCCESS,SUCCESS
3,D21111619,,,SUCCESS,SUCCESS
4,D21111637,,,SUCCESS,SUCCESS
5,D21111637,,,SUCCESS,SUCCESS
6,D21111657,,,SUCCESS,SUCCESS
7,D21111657,,,SUCCESS,SUCCESS
8,D21111661,,,SUCCESS,SUCCESS
9,D21111661,,,SUCCESS,SUCCESS
10,D21111682,,,SUCCESS,SUCCESS
11,D21111682,,,SUCCESS,SUCCESS
12,D21111687,,,SUCCESS,SUCCESS
13,D21111687,,,SUCCESS,SUCCESS
14,D21111688,,,SUCCESS,SUCCESS
15,D21111688,,,SUCCESS,SUCCESS
16,D21111879,,,SUCCESS,SUCCESS
17,D21111879,,,SUCCESS,SUCCESS
18,D21111938,,,SUCCESS,SUCCESS
19,D21111938,,,SUCCESS,SUCCESS
20,D21112623,,,SUCCESS,SUCCESS
21,D21112623,,,SUCCESS,SUCCESS
22,D21112957,,,SUCCESS,SUCCESS
23,D21112957,,,SUCCESS,SUCCESS
24,D21112992,,,SUCCESS,SUCCESS
25,D21112992,,,SUCCESS,SUCCESS
26,D2112016,,,SUCCESS,SUCCESS
27,D2112016,,,SUCCESS,SUCCESS
28,D21121023,,,SUCCESS,SUCCESS
29,D21121023,,,SUCCESS,SUCCESS
30,D21121026,,,SUCCESS,SUCCESS
31,D21121026,,,SUCCESS,SUCCESS
32,D21121029,,,SUCCESS,SUCCESS
33,D21121029,,,SUCCESS,SUCCESS
34,D21121060,,,SUCCESS,SUCCESS
35,D21121060,,,SUCCESS,SUCCESS
36,D21121080,,,SUCCESS,SUCCESS
37,D21121080,,,SUCCESS,SUCCESS
38,D2112109,,,SUCCESS,SUCCESS
39,D2112109,,,SUCCESS,SUCCESS
40,D21122319,,,SUCCESS,SUCCESS
41,D21122319,,,SUCCESS,SUCCESS
42,D2112234,,,SUCCESS,SUCCESS
43,D2112234,,,SUCCESS,SUCCESS
44,D21122343,,,SUCCESS,SUCCESS
45,D21122343,,,SUCCESS,SUCCESS
46,D21122351,,,SUCCESS,SUCCESS
47,D21122351,,,SUCCESS,SUCCESS
48,D21122948,,,SUCCESS,SUCCESS
49,D21122948,,,SUCCESS,SUCCESS
50,D21122956,,,SUCCESS,SUCCESS
51,D21122956,,,SUCCESS,SUCCESS
52,D21123011,,,SUCCESS,SUCCESS
53,D21123011,,,SUCCESS,SUCCESS
54,D21123013,,,SUCCESS,SUCCESS
55,D21123013,,,SUCCESS,SUCCESS
56,D21123025,,,SUCCESS,SUCCESS
57,D21123025,,,SUCCESS,SUCCESS
58,D21123032,,,SUCCESS,SUCCESS
59,D21123032,,,SUCCESS,SUCCESS
60,D2112305,,,SUCCESS,SUCCESS
61,D2112305,,,SUCCESS,SUCCESS
62,D21123062,,,SUCCESS,SUCCESS
63,D21123062,,,SUCCESS,SUCCESS
64,D21123065,,,SUCCESS,SUCCESS
65,D21123065,,,SUCCESS,SUCCESS
66,D21123087,,,SUCCESS,SUCCESS
67,D21123087,,,SUCCESS,SUCCESS
68,D21123192,,,SUCCESS,SUCCESS
69,D21123192,,,SUCCESS,SUCCESS
70,D22010692,,,SUCCESS,SUCCESS
71,D22010692,,,SUCCESS,SUCCESS
72,D22011056,,,SUCCESS,SUCCESS
73,D22011056,,,SUCCESS,SUCCESS
74,D22011110,,,SUCCESS,SUCCESS
75,D22011110,,,SUCCESS,SUCCESS
76,D22011122,,,SUCCESS,SUCCESS
77,D22011122,,,SUCCESS,SUCCESS
78,D22011143,,,SUCCESS,SUCCESS
79,D22011143,,,SUCCESS,SUCCESS
80,D22011294,,,SUCCESS,SUCCESS
81,D22011294,,,SUCCESS,SUCCESS
82,D22011452,,,SUCCESS,SUCCESS
