,document_id,sup_id,model,status,message
0,D2111158,ze291463,Committee,Success,SUCCESS
1,D2111158,ze294136,Committee,Success,SUCCESS
2,D2111158,ze301736,DPApproval,Success,SUCCESS
3,D2111158,ze301736,DPApproval,Success,SUCCESS GM
4,D21111619,ze347558,Committee,Success,SUCCESS
5,D21111619,ze309702,Committee,Success,SUCCESS
6,D21111619, ,DPApproval,Failed,DB finance_user empty
7,D21111619, ,DPApproval,Failed,GM DB finance_user empty
8,D21111637,ze296538,Committee,Success,SUCCESS
9,D21111637,ze309702,Committee,Success,SUCCESS
10,D21111637,ze301736,DPApproval,Success,SUCCESS
11,D21111637,ze301736,DPApproval,Success,SUCCESS GM
12,D21111657,ze347558,Committee,Success,SUCCESS
13,D21111657,ze309702,Committee,Success,SUCCESS
14,D21111657, ,DPApproval,Failed,DB finance_user empty
15,D21111657, ,DPApproval,Failed,GM DB finance_user empty
16,D21111661,ze347558,Committee,Success,SUCCESS
17,D21111661,ze309702,Committee,Success,SUCCESS
18,D21111661, ,DPApproval,Failed,DB finance_user empty
19,D21111661, ,DPApproval,Failed,GM DB finance_user empty
20,D21111682,ze347558,Committee,Success,SUCCESS
21,D21111682,ze309702,Committee,Success,SUCCESS
22,D21111682, ,DPApproval,Failed,DB finance_user empty
23,D21111682, ,DPApproval,Failed,GM DB finance_user empty
24,D21111687,ze347558,Committee,Success,SUCCESS
25,D21111687,ze309702,Committee,Success,SUCCESS
26,D21111687, ,DPApproval,Failed,DB finance_user empty
27,D21111687, ,DPApproval,Failed,GM DB finance_user empty
28,D21111688,ze347558,Committee,Success,SUCCESS
29,D21111688,ze309702,Committee,Success,SUCCESS
30,D21111688, ,DPApproval,Failed,DB finance_user empty
31,D21111688, ,DPApproval,Failed,GM DB finance_user empty
32,D21111879,ze226580,Committee,Success,SUCCESS
33,D21111879,ze294136,Committee,Success,SUCCESS
34,D21111879, ,DPApproval,Failed,DB finance_user empty
35,D21111879, ,DPApproval,Failed,GM DB finance_user empty
36,D21111938,ze226580,Committee,Success,SUCCESS
37,D21111938,ze294136,Committee,Success,SUCCESS
38,D21111938,ze301736,DPApproval,Success,SUCCESS
39,D21111938,ze301736,DPApproval,Success,SUCCESS GM
40,D21112623,ze34045,Committee,Success,SUCCESS
41,D21112623,ze267562,Committee,Success,SUCCESS
42,D21112623, ,DPApproval,Failed,DB finance_user empty
43,D21112623, ,DPApproval,Failed,GM DB finance_user empty
44,D21112957,ze38466,Committee,Success,SUCCESS
45,D21112957,ze267562,Committee,Success,SUCCESS
46,D21112957,ze301736,DPApproval,Success,SUCCESS
47,D21112957,ze301736,DPApproval,Success,SUCCESS GM
48,D21112992,ze38466,Committee,Success,SUCCESS
49,D21112992,ze267562,Committee,Success,SUCCESS
50,D21112992,ze301736,DPApproval,Success,SUCCESS
51,D21112992,ze301736,DPApproval,Success,SUCCESS GM
52,D2112016,ze34045,Committee,Success,SUCCESS
53,D2112016,ze267562,Committee,Success,SUCCESS
54,D2112016, ,DPApproval,Failed,DB finance_user empty
55,D2112016, ,DPApproval,Failed,GM DB finance_user empty
56,D21121023,ze293091,Committee,Success,SUCCESS
57,D21121023,ze309702,Committee,Success,SUCCESS
58,D21121023,ze301736,DPApproval,Success,SUCCESS
59,D21121023,ze301736,DPApproval,Success,SUCCESS GM
60,D21121026,ze347558,Committee,Success,SUCCESS
61,D21121026,ze309702,Committee,Success,SUCCESS
62,D21121026,ze301736,DPApproval,Success,SUCCESS
63,D21121026,ze301736,DPApproval,Success,SUCCESS GM
64,D21121029,ze293091,Committee,Success,SUCCESS
65,D21121029,ze309702,Committee,Success,SUCCESS
66,D21121029,ze301736,DPApproval,Success,SUCCESS
67,D21121029,ze301736,DPApproval,Success,SUCCESS GM
68,D21121060,ze347558,Committee,Success,SUCCESS
69,D21121060,ze309702,Committee,Success,SUCCESS
70,D21121060,ze301736,DPApproval,Success,SUCCESS
71,D21121060,ze301736,DPApproval,Success,SUCCESS GM
72,D21121080,ze293091,Committee,Success,SUCCESS
73,D21121080,ze309702,Committee,Success,SUCCESS
74,D21121080,ze301736,DPApproval,Success,SUCCESS
75,D21121080,ze301736,DPApproval,Success,SUCCESS GM
76,D2112109,ze347558,Committee,Success,SUCCESS
77,D2112109,ze309702,Committee,Success,SUCCESS
78,D2112109,ze301736,DPApproval,Success,SUCCESS
79,D2112109,ze301736,DPApproval,Success,SUCCESS GM
80,D21122319,ze293091,Committee,Success,SUCCESS
81,D21122319,ze309702,Committee,Success,SUCCESS
82,D21122319,ze301736,DPApproval,Success,SUCCESS
83,D21122319,ze301736,DPApproval,Success,SUCCESS GM
84,D2112234,ze257516,Committee,Success,SUCCESS
85,D2112234,ze283266,Committee,Success,SUCCESS
86,D2112234, ,DPApproval,Failed,DB finance_user empty
87,D2112234, ,DPApproval,Failed,GM DB finance_user empty
88,D21122343,ze257516,Committee,Success,SUCCESS
89,D21122343,ze283266,Committee,Success,SUCCESS
90,D21122343, ,DPApproval,Failed,DB finance_user empty
91,D21122343, ,DPApproval,Failed,GM DB finance_user empty
92,D21122351,ze293091,Committee,Success,SUCCESS
93,D21122351,ze309702,Committee,Success,SUCCESS
94,D21122351,ze301736,DPApproval,Success,SUCCESS
95,D21122351,ze301736,DPApproval,Success,SUCCESS GM
96,D21122948,ze296538,Committee,Success,SUCCESS
97,D21122948,ze309702,Committee,Success,SUCCESS
98,D21122948, ,DPApproval,Failed,DB finance_user empty
99,D21122948, ,DPApproval,Failed,GM DB finance_user empty
100,D21122956,ze296538,Committee,Success,SUCCESS
101,D21122956,ze309702,Committee,Success,SUCCESS
