location,depot,district,region,created_at
Monavale,KUWADZANA DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-11-09
Tafara,BINDURA DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-06-03
Bangazani Dam,BEATRICE DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-06-13
Bonda,CHINHOYI DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-03-10
Logan Park,NORTON DEPOT,KADOMA DISTRICT ,SOUTHERN REGION,2024-05-27
Barrington Rd Area,MHANGURA DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-06-12
Uplands,RUTENGA  DEPOT,HR NORTH DISTRICT,EASTERN REGION,2024-06-15
"Zengeza 1, 2,3, 4 & 5",CHIPINGE  DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-07-28
Paradise Park,MUTOKO DEPOT,MUTARE DISTRICT ,SOUTHERN REGION,2024-12-15
Harare Rd W,RUTENGA  DEPOT,BYO EAST DISTRICT ,SOUTHERN REGION,2024-07-03
Machipisa,MASHAVA  DEPOT,CHITUNGWIZA DISTRICT,SOUTHERN REGION,2024-02-18
Bikita Minerals,CBD DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-11-29
Hatlands Farm,KAROI DEPOT,ZVISHAVANE DISTRICT ,HARARE REGION,2024-03-08
Sentosa,MVURWI DEPOT,MANICALAND DISTRICT ,NORTHERN REGION,2024-09-15
22 Miles,BINDURA RURAL DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-06-29
Merwede,GUTU  DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-11-06
Southern Granite,MUTORASHANGA DEPOT,KADOMA DISTRICT ,NORTHERN REGION,2024-12-28
Mt Pleasant & Heights,MUTARE URBAN  DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-12-12
Draycot,MATAGA DEPOT,MANICALAND DISTRICT ,SOUTHERN REGION,2024-05-15
Lonchinvar,JURU DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-12-26
Amalinda Farm,MVUMA DEPOT,HR NORTH DISTRICT,HARARE REGION,2024-06-20
Uplands,FILABUSI DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-05-02
Lewisam,PLUMTREE DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-09-14
Bende,RUSAPE  DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2024-01-18
Kensington,ZENGEZA DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-10-08
Logan Park,NKAYI DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-04-18
Avenues,MUTOKO DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-11-24
Kambuzuma South,NORTON DEPOT,GWANDA DISTRICT,NORTHERN REGION,2024-01-12
Manyame Park,GLENVIEW DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-04-04
Parktown,JURU DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-05-10
Crowhill,ESIGODINI DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-11-13
Tynwald South,MABELREIGN DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-03-19
Chishawasha,CHIREDZI  DEPOT,ZVISHAVANE DISTRICT ,WESTERN REGION,2024-09-06
Westwood,KAROI DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-07-21
Sentosa,CHIPINGE  DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2024-08-30
Northwood,MASHAVA  DEPOT,ZVISHAVANE DISTRICT ,WESTERN REGION,2024-10-04
Southern Granite,NEMBUDZIYA DEPOT,BYO EAST DISTRICT ,EASTERN REGION,2024-06-14
4 Brigade,RUTENGA  DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-10-09
Mandara,MASVINGO  DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-06-22
Draycot,WATERFALLS DEPOT,KWEKWE DISTRICT ,WESTERN REGION,2024-02-08
Hopley,ZENGEZA DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-03-30
Ingwe Farm,BEATRICE DEPOT,MANICALAND DISTRICT ,SOUTHERN REGION,2024-11-20
4 Brigade,SHURUGWI DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-01-31
Ambleside,BINDURA RURAL DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-11-04
Cotswold Hills,GWANDA DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-02-01
Prospect West,MUTARE ENVIRONS  DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-05-18
Glen Lorne West,NYANGA  DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-11-02
Lonchinvar,MVUMA DEPOT,MUTARE DISTRICT ,WESTERN REGION,2024-07-19
Chisipite,MT DARWIN DEPOT,KADOMA DISTRICT ,EASTERN REGION,2024-09-08
Hatlands Farm,CHEGUTU DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-06-04
Stanbury Park,CHIMANIMANI  DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-09-28
Bangala,MABVUKU DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2024-02-29
Chiltern Hill,CHINHOYI DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-10-10
Sherwood Park - Part,CHINHOYI DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-05-23
Crowborough,BEITBRIDGE DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-05-17
Guildform Estate,MABELREIGN DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-12-02
Parkridge Estate,MVURWI DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-10-13
Arda Transau,CHIMANIMANI  DEPOT,GWANDA DISTRICT,HARARE REGION,2024-06-01
Harare Rd W,MHANGURA DEPOT,MANICALAND DISTRICT ,NORTHERN REGION,2024-08-03
Kintyre,MARONDERA RURAL DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-10-15
Meyrick Park,NKETA DEPOT,KWEKWE DISTRICT ,HARARE REGION,2024-09-01
Tynwald North,BEATRICE DEPOT,KWEKWE DISTRICT ,HARARE REGION,2024-08-11
Highlands - Part,GWERU URBAN DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-10-09
Glen Lorne West,WARREN PARK DEPOT,HR NORTH DISTRICT,HARARE REGION,2024-05-03
Bumba,CHIREDZI  DEPOT,HR EAST DISTRICT,NORTHERN REGION,2024-05-26
Highlands - Part,BROMLEY DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2024-08-15
Colray,MUTARE ENVIRONS  DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-05-19
Mt Pleasant & Heights,CHIVHU DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-08-07
Avenues,MARONDERA DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-09-03
Ruwa,MT DARWIN DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-03-02
Quinnington S,REDCLIFF DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-10-21
Bikita Minerals,NEMBUDZIYA DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-07-14
Sherwood Park - Part,ESIGODINI DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-09-02
Msasa Park,CHIVHU DEPOT,MUTARE DISTRICT ,SOUTHERN REGION,2024-12-24
Highfield,CHIVHU DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-10-24
Birchenough Bridge,MASVINGO  DEPOT,KWEKWE DISTRICT ,WESTERN REGION,2024-10-16
Rydale Ridge,MUTOKO DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-10-08
Manyame Park,PLUMTREE DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-05-05
Seki Rd Area,SHURUGWI DEPOT,HR NORTH DISTRICT,SOUTHERN REGION,2024-07-09
Thornpark,KADOMA RURAL DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-11-29
Stanbury Park,KWEKWE URBAN DEPOT,KADOMA DISTRICT ,EASTERN REGION,2024-11-11
Chadcombe,KADOMA RURAL DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-03-16
Midlands,TURK MINE DEPOT,MARONDERA DISTRICT ,HARARE REGION,2024-10-29
Upper Reaches Rd,CBD DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-03-16
Dzivaresekwa,KAROI DEPOT,BYO WEST DISTRICT ,EASTERN REGION,2024-07-10
Glen Norah A - Part,MIDDLE SABI  DEPOT,CHINHOYI DISTRICT ,SOUTHERN REGION,2024-05-28
Ridgeview,CHIREDZI  DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-12-18
Upper Reaches Rd,MUTARE URBAN  DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-12-26
Parktown,CHIREDZI  DEPOT,HR EAST DISTRICT,HARARE REGION,2024-02-04
Amby,WARREN PARK DEPOT,HR SOUTH DISTRICT,EASTERN REGION,2024-11-03
Chishawasha,GUTU  DEPOT,HR NORTH DISTRICT,SOUTHERN REGION,2024-08-02
Harare Rd W,HWANGE DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-06-02
3-2 Battalion,CBD DEPOT,HR EAST DISTRICT,HARARE REGION,2024-10-11
Quinnington S,MASVINGO  DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-05-23
22 Miles,MIDDLE SABI  DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-11-18
Warren Park E,HWANGE DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-10-28
Kutsaga,NKETA DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-08-13
Grobbie Park,CBD DEPOT,GWANDA DISTRICT,WESTERN REGION,2024-07-01
Sherwood Park - Part,GWERU ENVIRONS DEPOT,CHITUNGWIZA DISTRICT,WESTERN REGION,2024-05-22
Rolf Valley South,WATERFALLS DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-07-30
Bende,PLUMTREE DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-06-19
Unit J,MT DARWIN DEPOT,BINDURA  DISTRICT ,EASTERN REGION,2024-12-23
Manyame Park,CHINHOYI DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-06-24
Merwede,BINGA DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-03-30
Hatfield West,KADOMA DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-06-06
Avondale,NKAYI DEPOT,GWERU DISTRICT ,HARARE REGION,2024-04-01
Quinnington S,MARONDERA RURAL DEPOT,HWANGE DISTRICT,HARARE REGION,2024-05-28
Mayambara,MABELREIGN DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-06-30
Park Meadowlands,CONCESSION DEPOT,HWANGE DISTRICT,EASTERN REGION,2024-06-12
Sentosa,JURU DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-06-03
Kingsmead,MIDDLE SABI  DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-02-22
Whitecliffe,VICTORIA FALLS DEPOT,MARONDERA DISTRICT ,HARARE REGION,2024-11-01
Bonda,CHIMANIMANI  DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-06-20
Mayfield Park,BINGA DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-05-19
Umwinsidale,HWANGE DEPOT,MANICALAND DISTRICT ,NORTHERN REGION,2024-08-02
Park Meadowlands,MATAGA DEPOT,BINDURA  DISTRICT ,HARARE REGION,2024-04-14
Crowhill,ESIGODINI DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-08-14
Birchenough Bridge,CHIPINGE  DEPOT,MANICALAND DISTRICT ,WESTERN REGION,2024-07-07
"Jaggers, Chibuku, DMB",MABVUKU DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-11-16
Chedgelow,RUTENGA  DEPOT,MANICALAND DISTRICT ,WESTERN REGION,2024-07-27
