location,depot,district,region,created_at
"Seke Unit B, Makoni",Warren Park Depot,North District,West,2023-04-20
Cranborne Park,Seke,Chitungwiza District,East,2024-02-19
Winchdon,CBD Depot,North District,South,2023-05-20
Mufakose,CBD Depot,North District,East,2024-01-18
Rolf Valley N,Southerton Depot,East District,South,2024-01-15
Avondale West,Zengeza Depot,Chitungwiza District,East,2024-01-05
Langford Farm,Zengeza Depot,Chitungwiza District,Harare,2023-03-30
Avonlea - Part,CBD Depot,North District,West,2023-10-20
Rolf Valley N,Makoni Depot,Chitungwiza District,East,2023-10-21
Warren Park - Part,Warren Park Depot,Chitungwiza District,South,2023-01-09
Mt Pleasant & Heights,Waterfalls Depot,Chitungwiza District,West,2024-02-10
3-2 Battalion,Mabelreign Depot,North District,Harare,2023-03-20
Old Highfields,Glen View Depot,Chitungwiza District,East,2023-04-06
Twentydales Ext.,CBD Depot,South District,South,2023-02-07
Chadcombe,CBD Depot,Chitungwiza District,East,2023-05-01
Komani,CBD Depot,North District,West,2023-09-01
Mutare Rd,Kuwadzana Depot,East District,Harare,2023-05-30
Crowborough,Warren Park Depot,South District,South,2023-11-07
Mayambara,Warren Park Depot,Chitungwiza District,South,2023-06-04
Surface Investments,Kuwadzana Depot,Chitungwiza District,Harare,2024-01-28
Luna,Southerton Depot,East District,South,2023-11-13
Alex Park - Part,CBD Depot,East District,East,2024-01-01
Burma Valley,Makoni Depot,North District,South,2023-11-10
Malvern,Warren Park Depot,North District,Harare,2024-03-01
Kingsmead,Makoni Depot,North District,Harare,2023-12-02
Glen Wood,Mabvuku Depot,North District,South,2023-01-20
Crowhill,Borrowdale Depot,Chitungwiza District,East,2023-01-30
Chishawasha,Warren Park Depot,North District,East,2023-09-23
Westlea,Southerton Depot,Chitungwiza District,Harare,2023-02-10
Quinnington S,Borrowdale Depot,East District,Harare,2023-05-23
Msasa Park,CBD Depot,North District,South,2023-02-08
Glen Wood,Kuwadzana Depot,North District,East,2023-01-11
Avenues,Warren Park Depot,South District,East,2023-11-04
Rhodesville,CBD Depot,South District,East,2023-05-07
Bikita,Borrowdale Depot,East District,South,2023-12-22
Bannockburn,Borrowdale Depot,South District,East,2023-10-01
