,document_id,item_id,sup_id,status,message
0,TD21111792,Item211117604,SUP546,FAILED,Schedule Not Found
1,TD21111792,Item211117604,SUP175,FAILED,Schedule Not Found
2,TD21111792,Item211117604,SUP954,FAILED,Schedule Not Found
3,TD21111884,Item211118468,SUP954,FAILED,Schedule Not Found
4,TD21111884,Item211118468,SUP524,FAILED,Schedule Not Found
5,TD21111884,Item211118468,SUP524,FAILED,Schedule Not Found
6,TD21111884,Item211118468,SUP921,FAILED,Schedule Not Found
7,TD21111884,Item211118468,SUP998,FAILED,Schedule Not Found
8,TD21113018,Item211130867,SUP524,FAILED,Schedule Not Found
9,TD21120865,Item211208555,SUP617,FAILED,Schedule Not Found
10,TD21120865,Item211208663,SUP617,FAILED,Schedule Not Found
11,TD21120865,Item211208555,SUP625,FAILED,Schedule Not Found
12,TD21120865,Item211208663,SUP625,FAILED,Schedule Not Found
13,TD21120865,Item211208555,SUP14,FAILED,Schedule Not Found
14,TD21120865,Item211208663,SUP14,FAILED,Schedule Not Found
15,TD21120865,Item211208555,SUP536,FAILED,Schedule Not Found
16,TD21120865,Item211208663,SUP536,FAILED,Schedule Not Found
17,TD21120865,Item211208555,SUP277,FAILED,Schedule Not Found
18,TD21120865,Item211208663,SUP277,FAILED,Schedule Not Found
19,TD21120865,Item211208555,SUP783,FAILED,Schedule Not Found
20,TD21120865,Item211208663,SUP783,FAILED,Schedule Not Found
21,TD21120999,Item211209395,SUP177,FAILED,Schedule Not Found
22,TD21120999,Item211209394,SUP177,FAILED,Schedule Not Found
23,TD21120999,Item211209395,SUP538,FAILED,Schedule Not Found
24,TD21120999,Item211209394,SUP538,FAILED,Schedule Not Found
25,TD21120999,Item211209395,SUP28,FAILED,Schedule Not Found
26,TD21120999,Item211209394,SUP28,FAILED,Schedule Not Found
27,TD21120999,Item211209395,SUP998,FAILED,Schedule Not Found
28,TD21120999,Item211209394,SUP998,FAILED,Schedule Not Found
29,TD21120999,Item211209395,SUP422,FAILED,Schedule Not Found
30,TD21120999,Item211209394,SUP422,FAILED,Schedule Not Found
