"id","document_id","item_id","item","required_qty","unit_of_measurement","rfq_no"
"6","TD18100313","Item181003732","Shirts Short Sleeve","100","each","10152646"
"7","TD18100313","Item1810031","Shirts Long Sleeve","10","each","10152646"
"8","TD18100313","Item181003346","Dresses ","10","each","10152646"
"9","TD18100413","Item181004975","Sun Hats ","120","each","10152642"
"10","TD18100414","Item181004429","Substation Numbers","450","each","10155806"
"11","TD18100415","Item181004955","Substation Numbers","450","each","10155804"
"12","TD18100416","Item181004766","Substation Numbers","450","each","10155805"
"13","TD18100417","Item181004924","16mm2 4Core Cable","200","metres","10154709"
"14","TD18100813","Item181008830","Substation Numbers","450","each","10154704"
"15","TD18100816","Item181008899","Substation Numbers","450","each","10154706"
"16","TD18100819","Item181008930","Hire of 7 Tonne Truck","30","each","10153956"
"17","TD18100820","Item181008769","Hire of 7 Tonne Truck","31","each","10153955"
"18","TD18102446","Item18102448","185mm2 4core Cable","40","metres","10158400"
"19","TD18102479","Item181024519","Low bed Lorry","1","each","10157101"
"20","TD18102410","Item181024916","15 Ton Crane Truck","1","each","10157104"
"22","TD18102599","Item181025242","Conference Bags","120","each","10155928"
"31","TD18102595","Item181025675","8 Gig USB ","120","each","10157355"
"32","TD18102560","Item181025312","Writing pads and Parker Pens","120","each","10156289"
"33","TD18102532","Item181025183","Repainting Nyanga depot","1","each","10157465"
"34","TD18102564","Item181025630","Tar Reinstatement ","1","each","10154514"
"35","TD18102556","Item181025698","Fix concrete, cable markers along cabs feeder","1","each","10154516"
"36","TD18102537","Item181025280","Fix and supply pit latrines in Chipinge","4","each","10150235"
"37","TD18102554","Item181025804","supply fix pit latrines in Middle Sabi ","3","each","10152684"
"38","TD18102518","Item181025407","Supply and fix pit latrine","3","each","10152679"
"39","TD18102551","Item181025483","Service of Fire Extinguisher","1","each","10152193"
"40","TD18102597","Item181025760","Service of Fire Extinguisher","1","each","10157120"
"41","TD18102917","Item181029298","bbbb","12","each","101531442"
"42","TD18103130","Item181031527","erection of zcdc line","1","each","2001000004"
"43","TD18103130","Item181031949","erect of  zcdc line","1","each","2001000004"
"44","TD18103194","Item181031696","Stringing of landing spans and erection of pole structures at ZCDC VR Station","1","each","10158700"
"45","TD18103194","Item181031288",,"0","each","10158700"
"46","TD18111242","Item181112981","PG Clamp 50-100mm2 AL/AL","2000","each","10152360"
"47","TD18111295","Item18111236","PG Clamp 50-100mm2 CA/AL","1000","each","10152361"
"48","TD18111293","Item181112914","100mm2 PG Clamp ACSR 2bolt Aloyy","1000","each","10151816"
"49","TD1811122","Item181112809","Piercing connectors","1000","each","10151813"
"50","TD18111239","Item181112997","Soap Bars","3500","each","10151822"
"51","TD18111225","Item181112766","HP ENVY 17 Laptop","1","each","10154821"
"52","TD18111283","Item181112729","ENVY 17 Laptop","1","each","10156058"
"53","TD18111263","Item181112412","ENVY 17 Laptop","1","each","10154349"
"54","TD18111298","Item181112866","ESET Secure","150","each","10159179"
"55","TD18111289","Item181112593","HP72 (C9403A) Matte Black Catridge","2","each","10155782"
"56","TD1811134","Item181113302","Reception Counter","1","each","10155506"
"57","TD18111316","Item181113958","2 Seater reception chairs","6","each","10155657"
"58","TD18111316","Item181113113","3 Seater  reception chairs","1","each","10155657"
"61","TD18111440","Item181114638","11kV D Fuse Mounts ","200","each","10151817"
"62","TD18111410","Item181114581","33Kv D' Fuse Mounts ","200","each","10151821"
"63","TD1811163","Item181116211","Crane Hire","1","each","10160363"
"64","TD1811163","Item181116910","Mileage","365","each","10160363"
"66","TD18111977","Item181119897","System Numbers","450","each","10159923"
"67","TD18111916","Item181119703","System Numbers","450","each","10159923"
"68","TD18111936","Item181119516","Substation Numbers","450","each","10159924"
"69","TD18111974","Item181119474","Substation Numbers","450","each","10159924"
"70","TD1811199","Item181119597","Substation Numbers","450","each","10159923"
"71","TD18111969","Item181119764","HP ProBook 470 G5","1","each","10154821/1"
"73","TD18111957","Item181119428","Craning hours","1","each","10160363"
"74","TD18111957","Item181119144","Mileage to Chipinge","1","each","10160363"
"75","TD18111980","Item181119425","Craning hours","5","each","10160363"
"76","TD18111980","Item1811191","Mileage to Chipinge","365","each","10160363"
"77","TD18111928","Item181119592","Billboards","21","each","10160115"
"78","TD18111979","Item181119931","Pit latrines","8","each","10154661"
"79","TD18111952","Item181119982","Pit latrines","3","each","10154667"
"80","TD1811201","Item18112041","Water Fountain Pumps","2","each","10159367"
"81","TD18112133","Item181121410","Craning hours","5","each","10160363"
"82","TD18112133","Item18112174","Mileage to Chipinge","365","each","10160363"
"83","TD18112696","Item181126400","200mm Gun Clamps","30","each","10157637"
"84","TD18112628","Item181126964","20L PVA White","8","each","10160329"
"85","TD18112628","Item18112682","Oil Paint Blue","10","each","10160329"
"86","TD18112628","Item181126473","5L Turpentine","2","each","10160329"
"87","TD18112628","Item181126523","20L PVA Black","4","each","10160329"
"88","TD18112628","Item18112677","20L Red Roof & Stoep","6","each","10160329"
"89","TD18112641","Item181126906","HP970XL Black","1","each","10160940"
"90","TD18112641","Item181126123","HP970XL Cyan","1","each","10160940"
"91","TD18112641","Item181126847","HP970XL Yellow","1","each","10160940"
"92","TD18112641","Item181126472","HP970XL Magenta","1","each","10160940"
"93","TD18112657","Item181126425","HP55A Toner Cartridge","1","each","10155782"
"94","TD18112689","Item18112642","2 seater reception chairs","6","each","10155657"
"95","TD18112684","Item18112621","Reception Counter","1","each","10155506"
"96","TD18112672","Item181126187","1000x20 New Tyres","4","each","10154658"
"97","TD18112687","Item18112665","New Tyres 195 x 14 for F/N ER2100","5","each","101605502"
"98","TD1811269","Item181126690","New Tyres 215/70R15 for F/N ER2098","5","each","10154681"
"99","TD18112697","Item181126362","New Tyres 215/70R15 for F/N ER2104","5","each","10154679"
"100","TD1811265","Item18112665","Front and Rear Shocks for ER2010","4","each","10160540"
"101","TD18120437","Item181204453","Stay washer 3/4","2000","each","10161190"
"102","TD1812041","Item181204508","Stay plate 3/4","600","each","10161192"
"103","TD18120495","Item181204814","Stay rod 3/4","350","each","10161193"
