description,depot,district,region,created_at
Voltage fluctuation,BINDURA RURAL DEPOT,KADOMA DISTRICT ,EASTERN REGION,2023-12-31
Ground fault,ZENGEZA DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2023-12-25
Equipment failure,MUTARE ENVIRONS  DEPOT,GWANDA DISTRICT,NORTHERN REGION,2023-12-06
Voltage fluctuation,MUTOKO DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-01-08
Ground fault,MASVINGO  DEPOT,HR NORTH DISTRICT,EASTERN REGION,2023-12-16
Power outage,MATAGA DEPOT,HR NORTH DISTRICT,EASTERN REGION,2023-12-25
Short circuit,KARIBA DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2023-12-13
Power outage,BROMLEY DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-01-09
Circuit overload,CHIPINGE  DEPOT,KWEKWE DISTRICT ,WESTERN REGION,2023-12-23
Circuit overload,GWANDA DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2023-12-20
Power outage,KARIBA DEPOT,GWERU DISTRICT ,NORTHERN REGION,2023-12-23
Equipment failure,HWANGE DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-01-06
Short circuit,MABELREIGN DEPOT,GWANDA DISTRICT,EASTERN REGION,2023-12-23
Power outage,SOUTHERTON DEPOT,KWEKWE DISTRICT ,HARARE REGION,2024-01-08
Power outage,MT DARWIN DEPOT,BYO EAST DISTRICT ,HARARE REGION,2023-12-13
Short circuit,MUTARE ENVIRONS  DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2023-12-31
Power outage,FILABUSI DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2023-12-24
Short circuit,CONCESSION DEPOT,BYO EAST DISTRICT ,SOUTHERN REGION,2023-12-25
Circuit overload,MIDDLE SABI  DEPOT,CHITUNGWIZA DISTRICT,WESTERN REGION,2023-12-17
Equipment failure,MVURWI DEPOT,GWERU DISTRICT ,NORTHERN REGION,2023-12-08
