,document_id,sup_id,model,status,message
0,,,ComparativeSchedules,Failed,Schedule not found
1,TD21111792,,ComparativeSchedules,Failed,Schedule not found
2,TD21111884,,ComparativeSchedules,Failed,Schedule not found
3,TD21113018,,ComparativeSchedules,Failed,Schedule not found
4,TD21120865,,ComparativeSchedules,Failed,Schedule not found
5,TD21120923,,ComparativeSchedules,Failed,Schedule not found
6,TD21120944,,ComparativeSchedules,Failed,Schedule not found
7,TD21120971,,ComparativeSchedules,Failed,Schedule not found
8,TD21120977,,ComparativeSchedules,Failed,Schedule not found
9,TD21120979,,ComparativeSchedules,Failed,Schedule not found
10,TD21120984,,ComparativeSchedules,Failed,Schedule not found
11,TD21120994,,ComparativeSchedules,Failed,Schedule not found
12,TD21121368,,ComparativeSchedules,Failed,Schedule not found
13,TD2112137,,ComparativeSchedules,Failed,Schedule not found
14,TD21121449,,ComparativeSchedules,Failed,Schedule not found
15,TD21121464,,ComparativeSchedules,Failed,Schedule not found
16,TD21121476,,ComparativeSchedules,Failed,Schedule not found
17,TD2112151,,ComparativeSchedules,Failed,Schedule not found
18,TD21121526,AGRISOFT AFRICA VENTURES,CSCompliance,Successs,SUCCESS
19,TD21121526,UNITRACK,CSCompliance,Successs,SUCCESS
20,TD21121526,NORBHAT INVESTMENTS,CSCompliance,Successs,SUCCESS
21,TD21121526,CURRENTWISH INVESTMENTS,CSCompliance,Successs,SUCCESS
22,TD21121526,LEDGER MINDS,CSCompliance,Successs,SUCCESS
23,TD21121526,,CSCompliance,Failed,DB Supplier not found
24,TD21121526,,CSCompliance,Failed,DB Supplier not found
25,TD21121526,,CSCompliance,Failed,DB Supplier not found
26,TD21121526,,CSCompliance,Failed,DB Supplier not found
27,TD21121526,,CSCompliance,Failed,DB Supplier not found
28,TD21121526,,CSCompliance,Failed,DB Supplier not found
29,TD21121526,,CSCompliance,Failed,DB Supplier not found
30,TD21121526,,CSCompliance,Failed,DB Supplier not found
31,TD21121526,,CSCompliance,Failed,DB Supplier not found
32,TD21121526,,CSCompliance,Failed,DB Supplier not found
33,TD21121526,,CSCompliance,Failed,DB Supplier not found
34,TD21121526,,CSCompliance,Failed,DB Supplier not found
35,TD21121526,,CSCompliance,Failed,DB Supplier not found
36,TD21121526,,CSCompliance,Failed,DB Supplier not found
37,TD21121526,,CSCompliance,Failed,DB Supplier not found
38,TD21121526,,CSCompliance,Failed,DB Supplier not found
39,TD21121526,,CSCompliance,Failed,DB Supplier not found
40,TD21121526,,CSCompliance,Failed,DB Supplier not found
41,TD21121526,,CSCompliance,Failed,DB Supplier not found
42,TD21121526,,CSCompliance,Failed,DB Supplier not found
43,TD21121526,,CSCompliance,Failed,DB Supplier not found
44,TD21121526,,CSCompliance,Failed,DB Supplier not found
45,TD21121526,,CSCompliance,Failed,DB Supplier not found
46,TD21121526,,CSCompliance,Failed,DB Supplier not found
47,TD21121526,ze277479,Committee,Success,SUCCESS
48,TD21121526,ze325058,Committee,Success,SUCCESS
49,TD21121526,ze261084,Committee,Success,SUCCESS
50,TD21121526,ze298433,Committee,Success,SUCCESS
51,TD21121526,ze233366,Committee,Success,SUCCESS
52,TD21121526,,Committee,Failed,member profile empty
53,TD21121526,,Committee,Failed,member profile empty
54,TD21121526,,Committee,Failed,member profile empty
55,TD21121526,,Committee,Failed,member profile empty
56,TD21121526,ze301736,CSApproval,Success,SUCCESS
57,TD21121526,ze043110,CSApproval,Success,SUCCESS GM
58,TD21121551,,ComparativeSchedules,Failed,Schedule not found
59,TD21121555,,ComparativeSchedules,Failed,Schedule not found
60,TD21121564,,ComparativeSchedules,Failed,Schedule not found
61,TD2112157,,ComparativeSchedules,Failed,Schedule not found
62,TD21121588,,ComparativeSchedules,Failed,Schedule not found
63,TD21121616,,ComparativeSchedules,Failed,Schedule not found
64,TD21121623,,ComparativeSchedules,Failed,Schedule not found
65,TD21121626,,ComparativeSchedules,Failed,Schedule not found
66,TD21121632,,ComparativeSchedules,Failed,Schedule not found
67,TD21121635,,ComparativeSchedules,Failed,Schedule not found
68,TD21121642,,ComparativeSchedules,Failed,Schedule not found
69,TD21121643,,ComparativeSchedules,Failed,Schedule not found
70,TD21121663,,ComparativeSchedules,Failed,Schedule not found
71,TD21121665,,ComparativeSchedules,Failed,Schedule not found
72,TD21121697,TIT MOTOR SPARES,CSCompliance,Successs,SUCCESS
73,TD21121697,,CSCompliance,Failed,DB Supplier not found
74,TD21121697,,CSCompliance,Failed,DB Supplier not found
75,TD21121697,,CSCompliance,Failed,DB Supplier not found
76,TD21121697,,CSCompliance,Failed,DB Supplier not found
77,TD21121697,,CSCompliance,Failed,DB Supplier not found
78,TD21121697,,CSCompliance,Failed,DB Supplier not found
79,TD21121697,,CSCompliance,Failed,DB Supplier not found
80,TD21121697,,CSCompliance,Failed,DB Supplier not found
81,TD21121697,,CSCompliance,Failed,DB Supplier not found
82,TD21121697,,CSCompliance,Failed,DB Supplier not found
83,TD21121697,,CSCompliance,Failed,DB Supplier not found
84,TD21121697,,CSCompliance,Failed,DB Supplier not found
85,TD21121697,,CSCompliance,Failed,DB Supplier not found
86,TD21121697,,CSCompliance,Failed,DB Supplier not found
87,TD21121697,,CSCompliance,Failed,DB Supplier not found
88,TD21121697,,CSCompliance,Failed,DB Supplier not found
89,TD21121697,,CSCompliance,Failed,DB Supplier not found
90,TD21121697,,CSCompliance,Failed,DB Supplier not found
91,TD21121697,,CSCompliance,Failed,DB Supplier not found
92,TD21121697,,CSCompliance,Failed,DB Supplier not found
93,TD21121697,,CSCompliance,Failed,DB Supplier not found
94,TD21121697,,CSCompliance,Failed,DB Supplier not found
95,TD21121697,,CSCompliance,Failed,DB Supplier not found
96,TD21121697,,CSCompliance,Failed,DB Supplier not found
97,TD21121697,,CSCompliance,Failed,DB Supplier not found
98,TD21121697,,CSCompliance,Failed,DB Supplier not found
99,TD21121697,,CSCompliance,Failed,DB Supplier not found
100,TD21121697,,CSCompliance,Failed,DB Supplier not found
101,TD21121697,ze277479,Committee,Success,SUCCESS
102,TD21121697,ze336785,Committee,Success,SUCCESS
103,TD21121697,ze261084,Committee,Success,SUCCESS
104,TD21121697,ze298433,Committee,Success,SUCCESS
105,TD21121697,ze233366,Committee,Success,SUCCESS
106,TD21121697,,Committee,Failed,member profile empty
107,TD21121697,,Committee,Failed,member profile empty
108,TD21121697,,Committee,Failed,member profile empty
109,TD21121697,,Committee,Failed,member profile empty
110,TD21121697,ze301736,CSApproval,Success,SUCCESS
111,TD21121697,ze043110,CSApproval,Success,SUCCESS GM
112,TD21121715,,ComparativeSchedules,Failed,Schedule not found
113,TD21121740,,ComparativeSchedules,Failed,Schedule not found
114,TD21121761,,ComparativeSchedules,Failed,Schedule not found
115,TD21122012,,ComparativeSchedules,Failed,Schedule not found
116,TD21122019,,ComparativeSchedules,Failed,Schedule not found
117,TD21122021,,ComparativeSchedules,Failed,Schedule not found
118,TD21122024,,ComparativeSchedules,Failed,Schedule not found
119,TD21122028,,ComparativeSchedules,Failed,Schedule not found
120,TD21122030,,ComparativeSchedules,Failed,Schedule not found
121,TD21122034,,ComparativeSchedules,Failed,Schedule not found
122,TD21122043,,ComparativeSchedules,Failed,Schedule not found
123,TD21122053,,ComparativeSchedules,Failed,Schedule not found
124,TD21122069,,ComparativeSchedules,Failed,Schedule not found
125,TD21122070,,ComparativeSchedules,Failed,Schedule not found
126,TD21122071,,ComparativeSchedules,Failed,Schedule not found
127,TD21122079,,ComparativeSchedules,Failed,Schedule not found
128,TD21122083,,ComparativeSchedules,Failed,Schedule not found
129,TD21122093,,ComparativeSchedules,Failed,Schedule not found
130,TD21122098,,ComparativeSchedules,Failed,Schedule not found
131,TD21122121,,ComparativeSchedules,Failed,Schedule not found
132,TD21122126,,ComparativeSchedules,Failed,Schedule not found
133,TD21122153,,ComparativeSchedules,Failed,Schedule not found
134,TD21122167,janask enterprises,CSCompliance,Successs,SUCCESS
135,TD21122167,SILVERPOINT ENTERPRISES,CSCompliance,Successs,SUCCESS
136,TD21122167,YELLOW PORTION INVESTMENTS,CSCompliance,Successs,SUCCESS
137,TD21122167,RENKOO TRADING,CSCompliance,Successs,SUCCESS
138,TD21122167,GREAT STRIPES INVESTMENTS,CSCompliance,Successs,SUCCESS
139,TD21122167,SWINGTONE ENTERPRISES,CSCompliance,Successs,SUCCESS
140,TD21122167,FEBRITE PVT LTD,CSCompliance,Successs,SUCCESS
141,TD21122167,,CSCompliance,Failed,DB Supplier not found
142,TD21122167,,CSCompliance,Failed,DB Supplier not found
143,TD21122167,,CSCompliance,Failed,DB Supplier not found
144,TD21122167,,CSCompliance,Failed,DB Supplier not found
145,TD21122167,,CSCompliance,Failed,DB Supplier not found
146,TD21122167,,CSCompliance,Failed,DB Supplier not found
147,TD21122167,,CSCompliance,Failed,DB Supplier not found
148,TD21122167,,CSCompliance,Failed,DB Supplier not found
149,TD21122167,,CSCompliance,Failed,DB Supplier not found
150,TD21122167,,CSCompliance,Failed,DB Supplier not found
151,TD21122167,,CSCompliance,Failed,DB Supplier not found
152,TD21122167,,CSCompliance,Failed,DB Supplier not found
153,TD21122167,,CSCompliance,Failed,DB Supplier not found
154,TD21122167,,CSCompliance,Failed,DB Supplier not found
155,TD21122167,,CSCompliance,Failed,DB Supplier not found
156,TD21122167,,CSCompliance,Failed,DB Supplier not found
157,TD21122167,,CSCompliance,Failed,DB Supplier not found
158,TD21122167,,CSCompliance,Failed,DB Supplier not found
159,TD21122167,,CSCompliance,Failed,DB Supplier not found
160,TD21122167,,CSCompliance,Failed,DB Supplier not found
161,TD21122167,,CSCompliance,Failed,DB Supplier not found
162,TD21122167,,CSCompliance,Failed,DB Supplier not found
163,TD21122167,ze277479,Committee,Success,SUCCESS
164,TD21122167,ze325058,Committee,Success,SUCCESS
165,TD21122167,ze233366,Committee,Success,SUCCESS
166,TD21122167,ze298433,Committee,Success,SUCCESS
167,TD21122167,ze263567,Committee,Success,SUCCESS
168,TD21122167,,Committee,Failed,member profile empty
169,TD21122167,,Committee,Failed,member profile empty
170,TD21122167,,Committee,Failed,member profile empty
171,TD21122167,,Committee,Failed,member profile empty
172,TD21122167,,CSApproval,Failed,DB finance_user empty
173,TD21122167,,CSApproval,Failed,GM DB finance_user empty
174,TD21122175,,ComparativeSchedules,Failed,Schedule not found
175,TD21122311,,ComparativeSchedules,Failed,Schedule not found
176,TD21122312,,ComparativeSchedules,Failed,Schedule not found
177,TD21122337,,ComparativeSchedules,Failed,Schedule not found
178,TD21122349,,ComparativeSchedules,Failed,Schedule not found
179,TD21122368,,ComparativeSchedules,Failed,Schedule not found
180,TD21122378,,ComparativeSchedules,Failed,Schedule not found
181,TD21122417,,ComparativeSchedules,Failed,Schedule not found
182,TD21122422,,ComparativeSchedules,Failed,Schedule not found
183,TD21122435,,ComparativeSchedules,Failed,Schedule not found
184,TD2112245,,ComparativeSchedules,Failed,Schedule not found
185,TD21122461,BRUTAMINE ENTRPRISES,CSCompliance,Successs,SUCCESS
186,TD21122461,JAY JAY ENTERPRISES,CSCompliance,Successs,SUCCESS
187,TD21122461,DRUMCITY,CSCompliance,Successs,SUCCESS
188,TD21122461,FURATEQ,CSCompliance,Successs,SUCCESS
189,TD21122461,,CSCompliance,Failed,DB Supplier not found
190,TD21122461,,CSCompliance,Failed,DB Supplier not found
191,TD21122461,,CSCompliance,Failed,DB Supplier not found
192,TD21122461,,CSCompliance,Failed,DB Supplier not found
193,TD21122461,,CSCompliance,Failed,DB Supplier not found
194,TD21122461,,CSCompliance,Failed,DB Supplier not found
195,TD21122461,,CSCompliance,Failed,DB Supplier not found
196,TD21122461,,CSCompliance,Failed,DB Supplier not found
197,TD21122461,,CSCompliance,Failed,DB Supplier not found
198,TD21122461,,CSCompliance,Failed,DB Supplier not found
199,TD21122461,,CSCompliance,Failed,DB Supplier not found
200,TD21122461,,CSCompliance,Failed,DB Supplier not found
201,TD21122461,,CSCompliance,Failed,DB Supplier not found
202,TD21122461,,CSCompliance,Failed,DB Supplier not found
203,TD21122461,,CSCompliance,Failed,DB Supplier not found
204,TD21122461,,CSCompliance,Failed,DB Supplier not found
205,TD21122461,,CSCompliance,Failed,DB Supplier not found
