"document_id","item_required","qty","uom","id"
"RQ21111611","Long Service awards","100","each","202"
"RQ21111634","ZLG coupons","100","each","203"
"RQ21111819","Telephone Handsets","9","each","204"
"RQ21111829","Samsung Galaxy A21s 64gb","1","each","205"
"RQ21111827","PA System, DJ, Photographer and Mics for Long Services Awards","1","each","206"
"RQ21111879","PA System, DJ, Photographer and Mics for Long Services Awards","1","each","207"
"RQ21112476","Branded A4 Diaries ","200","each","208"
"RQ21112483","Branded A5 Diaries ","400","each","209"
"RQ21112486","Branded boxed executive notebooks with usb","25","each","210"
"RQ21112486","Branded standard A5 Notebook","100","each","211"
"RQ21112415","Harare Region sign on posts ","2","each","212"
"RQ21112415","Head protection sign ","2","each","213"
"RQ21112415","Think safety sign ","2","each","214"
"RQ21112415","No Alcohol, No guns, No Camera sign ","2","each","215"
"RQ21112491","branded shirts","40","each","216"
"RQ21112443","Branded A4 flat folders","1000","each","217"
"RQ21112538","Lightbox on poles","1","each","218"
"RQ21112538","refurbishment of existing signage ","2","each","219"
"RQ21112571","HR Excellence Awards IPMZ TABLE OF 10","1","each","220"
"RQ21120297","Black pens technic","50","each","221"
"RQ21120297","Blue Pens Technic","50","each","222"
"RQ21120297","Counter Books A4 288 PG","5","each","223"
"RQ21120297","Scissors","5","each","224"
"RQ21120297","Notebook Premim Deli 7901","5","each","225"
"RQ21120297","Paper Punch Medium 20 Sheets","3","each","226"
"RQ21120297","Staple Pins 26/6 (56)","5","each","227"
"RQ21120297","Letter Trays 3 tier","5","each","228"
"RQ21120297","Liquid Glue 125ml 7303","5","each","229"
"RQ21120271","orange pulp minute maid","24","each","230"
"RQ21120271","coke 500ml","12","each","231"
"RQ21120271","sprite 500ml sugar free","12","each","232"
"RQ21120271","shumba mahewu 500ml","24","each","233"
"RQ21120271","everyday powder milk 400g","2","each","234"
"RQ21120271","coffee break 100g","2","each","235"
"RQ21120271","proton choc chip","4","each","236"
"RQ21120271","brown sugar 2kg","3","each","237"
"RQ21120271","aqua clear 500ml","120","each","238"
"RQ21120271","guava minute maid","24","each","239"
"RQ21120271","apple minute maid","24","each","240"
"RQ21120271",,"0","each","241"
"RQ21120292","Purchase of two Samsung Galaxy A12 64gb for Lead Artisan and Artisan Southerton CSC (Mugure H & Mutambara A.) respectively","2","each","242"
"RQ21120211","PA System, DJ, Photographer and Mics for Long Services Awards","1","each","243"
"RQ21120295","PA System, DJ, Photographer and Mics for Long Services Awards","1","each","244"
"RQ21120389","1 tonne trcks","3","each","245"
"RQ21120837","TELEPHONE HANDSETS","3","each","246"
