"id","document_id","rfq_number","rfq_date","scope_of_work","item_required","qty","date_created","specifications","created_by","section_code","ace","ace_spec","proc_ref","region"
"186","RQ21111611","10220876","2021-11-16","Long Service awards for Harare Region at Golden Conifer on 7 December 2021",,"0","2022-12-07 10:12:16","../specifications/","ze347558","523001",,,"acc473630","harare"
"187","RQ21111634","10220403","2021-11-16","Purchase of ZLG water coupons for Southerton staff",,"0","2022-12-07 10:12:16","../specifications/ZLG WATER COUPONS.pdf","ze261092","524604",,,"acc473700","harare"
"188","RQ21111819","10221155","2021-11-18","Telephone Handsets for South District Sales Department",,"0","2022-12-07 10:12:16","../specifications/KEYCOM NETWORKS QUOTATION.pdf","ze53821","524601",,,"acc473300","harare"
"189","RQ21111829","10218220","2021-11-18","Procurement of a replacement Cellphone for Mr T. Pfuwai who was robbed at home",,"0","2022-12-07 10:12:16","../specifications/PFUWAI TAVONGA REPLACEMENT OF STOLEN CELLPHONE.pdf","ze53821","524601",,,"acc473310","harare"
"190","RQ21111827","90221186","2021-11-18","PA System, DJ, Photographer and Mics for Long Services Awards",,"0","2022-12-07 10:12:16","../specifications/SOUND HIRE DJ AND PHOTOGRAPHER FUNCTION 1.pdf","ze53821","524601",,,"acc473630","harare"
"191","RQ21111879","10221186","2021-11-18","PA System, DJ, Photographer and Mics for Long Services Awards",,"0","2022-12-07 10:12:16","../specifications/SOUND HIRE DJ AND PHOTOGRAPHER FUNCTION 2.pdf","ze53821","524601",,,"acc473630","harare"
"192","RQ21112476","10221535","2021-11-24","Procurement of 2022 Branded A4 Diaries ",,"0","2022-12-07 10:12:16","../specifications/","ze329223","525000",,,"acc466605","harare"
"193","RQ21112483","10221538","2021-11-24","Procurement of branded A5 Diaries ",,"0","2022-12-07 10:12:16","../specifications/","ze329223","525000",,,"acc466605","harare"
"194","RQ21112486","10221537","2021-11-24","procurement of Branded Executive notebooks and standard A5 notebooks",,"0","2022-12-07 10:12:16","../specifications/","ze329223","525000",,,"acc466605","harare"
"195","RQ21112415","10221544","2021-11-24","Procurement of Chirungwiza and Seke Substation safety signs ",,"0","2022-12-07 10:12:16","../specifications/","ze329223","525000",,,"acc473640","harare"
