section_code,section,budget,allocated,withdrawn,balance,withdrawal_date,awaiting_sanctioning,period,region
521001,GM,GM-computer,194333420,0,194333420,null,0,2024,harare
521001,GM,GM-office &furniture equip,206105670,0,206105670,null,0,2024,harare
521001,GM,GM-motor vehicles,240250000,0,240250000,null,0,2024,harare
522001,Finance,Finance- T&E,127548725,0,127548725,null,0,2024,harare
522001,Finance,Finance-computer,194333420,0,194333420,null,0,2024,harare
522001,Finance,Finance-office &furniture equip,206105670,0,206105670,null,0,2024,harare
522001,Finance,Finance-motor vehicles,480500000,0,480500000,null,0,2024,harare
523001,Human Resources,HR-computer,194333420,0,194333420,null,0,2024,harare
523001,Human Resources,HR-office &furniture equip,206105670,0,206105670,null,0,2024,harare
523001,Human Resources,HR-motor vehicles,480500000,0,480500000,null,0,2024,harare
523001,Human Resources,HR-L&B,4723449600,0,4723449600,null,700000000,2024,harare
524001,EM,EM-computer,194333420,0,194333420,null,0,2024,harare
524001,EM,EM-office &furniture equip,206105670,0,206105670,null,0,2024,harare
524001,EM,EM-motor vehicles,240250000,0,240250000,null,0,2024,harare
524101,Network Development,Projects-T&E,127548725,0,127548725,null,0,2024,harare
524101,Network Development,Projects-computers,194333420,0,194333420,null,0,2024,harare
524101,Network Development,Projects-office &furniture equip,206105670,0,206105670,null,0,2024,harare
524101,Network Development,Projects-motor vehicles,1441500000,0,1441500000,null,0,2024,harare
524101,Network Development,Projects-Category 1,50510764800,0,50510764800,null,0,2024,harare
524101,Network Development,Projects-Category 3,1.28E+11,0,1.28E+11,null,0,2024,harare
524301,Operation and Maintenance,OPS- T&E,819956144.2,0,819956144.2,2024-01-17,0,2024,harare
524301,Operation and Maintenance,OPS-computer,194333420,0,194333420,null,0,2024,harare
524301,Operation and Maintenance,OPS-office &furniture equip,206105670,0,206105670,null,0,2024,harare
524301,Operation and Maintenance,OPS-motor vehicles,2306400000,0,2306400000,null,0,2024,harare
524401,Chitungwiza,Zengeza- T&E,409978072.1,0,409978072.1,null,0,2024,harare
524401,Chitungwiza,Zengeza-computer,194333420,0,194333420,null,0,2024,harare
524401,Chitungwiza,Zengeza-office &furniture equip,206105670,0,206105670,null,0,2024,harare
524401,Chitungwiza,Zengeza-motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524401,Chitungwiza,Zengeza-Category 2,1368000000,0,1368000000,null,0,2024,harare
524401,Chitungwiza,Zengeza-Major Distribution Maintenace Equipment,4713430656,0,4713430656,null,0,2024,harare
524401,Chitungwiza,Seke- T&E,409978072.1,0,409978072.1,null,7000000,2024,harare
524401,Chitungwiza,Seke-computer,194333420,0,194333420,2024-01-17,0,2024,harare
524401,Chitungwiza,Seke-office &furniture equip,206105670,0,206105670,null,0,2024,harare
524401,Chitungwiza,Seke-motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524401,Chitungwiza,Seke-Category 1,2928000000,0,2928000000,null,0,2024,harare
524401,Chitungwiza,Seke-Category 2,4488000000,0,4488000000,null,0,2024,harare
524401,Chitungwiza,Seke-Major Distribution Maintenace Equipment,4713430656,0,4713430656,null,0,2024,harare
524401,Chitungwiza,District Office -Motor  vehicle,240250000,0,240250000,null,0,2024,harare
524401,Chitungwiza,District Office- computers,194333420,0,194333420,null,40000000,2024,harare
524401,Chitungwiza,District Office -office &furniture,206105670,0,206105670,null,0,2024,harare
524501,Warren Park,Warren Park -T&E,409978072.1,33000000,376978072.1,2024-01-15,0,2024,harare
524501,Warren Park,Warren Park -computers,194333420,0,194333420,null,0,2024,harare
524501,Warren Park,Warren Park -office &equipment,206105670,0,206105670,null,0,2024,harare
524501,Warren Park,Warren Park-motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524501,Warren Park,Warren Park-Category 1,8745600000,0,8745600000,null,0,2024,harare
524501,Warren Park,Warren Park-Category 2,5755680000,0,5755680000,null,0,2024,harare
524501,Warren Park,Warren Park-Major Distribution Maintenace Equipment,3949777280,0,3949777280,null,0,2024,harare
524501,Kuwadzana,Kuwadzana-T&E,409978072.1,123500000,286478072.1,2024-01-15,0,2024,harare
524501,Kuwadzana,Kuwadzana -computers,194333420,0,194333420,null,0,2024,harare
524501,Kuwadzana,Kuwadzana-office &furniture equp,206105670,0,206105670,null,0,2024,harare
524501,Kuwadzana,Kuwadzana-motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524501,Kuwadzana,Kuwadzana-Category 1,32544000000,0,32544000000,null,0,2024,harare
524501,Kuwadzana,Kuwadzana-Category 2,12131382036,0,12131382036,null,0,2024,harare
524501,Kuwadzana,Kuwadzana-Major Distribution Maintenace Equipment,3949777280,0,3949777280,null,0,2024,harare
524501,Mabelreign,Mabelreign-T&E,409978072.1,123500000,286478072.1,2024-01-15,0,2024,harare
524501,Mabelreign,Mabelreign -computers,194333420,0,194333420,null,0,2024,harare
524501,Mabelreign,Mabelreign -office &furniture equip,206105670,0,206105670,null,0,2024,harare
524501,Mabelreign,Mabelreign-motor vehicles,1729800000,0,1729800000,null,0,2024,harare
524501,Mabelreign,Mabelreign-Category 1,2880000000,0,2880000000,null,0,2024,harare
524501,Mabelreign,Mabelreign-Category 2,3700800000,0,3700800000,null,0,2024,harare
524501,Mabelreign,Mabelreign-Major Distribution Maintenace Equipment,3949777280,0,3949777280,null,0,2024,harare
524501,District Office,District Office -Motor  vehicle,240250000,0,240250000,null,0,2024,harare
524501,District Office,District Office- computers,194333420,0,194333420,null,0,2024,harare
524501,District Office,District Office -office &furniture,206105670,0,206105670,null,0,2024,harare
524601,Southerton,Southerton-T&E,409978072.1,0,409978072.1,null,70000000,2024,harare
