depot,district,region,created_at
Mabvuku Depot,Chitungwiza District,Harare,2023-12-10
Warren Park Depot,Chitungwiza District,South,2023-12-30
Waterfalls Depot,North District,South,2024-01-03
Mabvuku Depot,South District,Harare,2023-12-31
Ruwa Depot,North District,Harare,2023-12-09
Waterfalls Depot,North District,East,2024-01-05
Southerton Depot,North District,West,2023-12-18
CBD Depot,East District,South,2023-12-24
CBD Depot,South District,South,2024-01-01
Kuwadzana Depot,Chitungwiza District,East,2024-01-09
Kuwadzana Depot,South District,Harare,2023-12-07
Kuwadzana Depot,East District,West,2023-12-17
Zengeza Depot,East District,West,2023-12-19
Seke,Chitungwiza District,West,2023-12-12
Waterfalls Depot,East District,East,2023-12-07
Warren Park Depot,South District,West,2023-12-06
Makoni Depot,East District,South,2023-12-23
Seke,Chitungwiza District,West,2023-12-23
Borrowdale Depot,North District,West,2023-12-20
Kuwadzana Depot,East District,Harare,2024-01-01
Zengeza Depot,North District,Harare,2023-12-09
Ruwa Depot,South District,West,2023-12-07
Warren Park Depot,East District,West,2023-12-06
Mabelreign Depot,South District,West,2024-01-03
Glen View Depot,South District,East,2023-12-04
Seke,Chitungwiza District,Harare,2023-12-03
Glen View Depot,Chitungwiza District,South,2023-12-05
CBD Depot,South District,West,2023-12-20
Mabvuku Depot,South District,South,2023-12-13
Mabelreign Depot,East District,South,2023-12-08
Warren Park Depot,South District,East,2023-12-18
Seke,North District,East,2024-01-01
Makoni Depot,Chitungwiza District,East,2023-12-13
CBD Depot,Chitungwiza District,West,2023-12-14
Seke,North District,West,2023-12-27
Seke,Chitungwiza District,East,2023-12-25
Zengeza Depot,Chitungwiza District,East,2023-12-06
Mabvuku Depot,East District,Harare,2023-12-01
Ruwa Depot,South District,West,2023-12-03
Warren Park Depot,South District,South,2024-01-08
Kuwadzana Depot,Chitungwiza District,Harare,2023-12-22
Ruwa Depot,East District,West,2024-01-04
Mabelreign Depot,Chitungwiza District,East,2023-12-17
Waterfalls Depot,East District,South,2023-12-06
Waterfalls Depot,South District,East,2023-12-15
Ruwa Depot,Chitungwiza District,South,2023-12-07
Kuwadzana Depot,East District,Harare,2024-01-06
Ruwa Depot,Chitungwiza District,East,2023-12-10
Borrowdale Depot,North District,East,2023-12-23
Kuwadzana Depot,North District,Harare,2023-12-04
Warren Park Depot,North District,West,2023-12-20
Ruwa Depot,North District,West,2024-01-08
Mabelreign Depot,North District,Harare,2024-01-04
Ruwa Depot,North District,East,2024-01-05
CBD Depot,East District,South,2023-12-13
Ruwa Depot,North District,West,2024-01-02
Zengeza Depot,East District,East,2023-12-15
Seke,North District,East,2023-12-28
Mabelreign Depot,Chitungwiza District,South,2023-12-30
Zengeza Depot,East District,Harare,2023-12-28
Warren Park Depot,East District,Harare,2024-01-05
Mabvuku Depot,East District,South,2023-12-08
Glen View Depot,South District,West,2023-12-11
Southerton Depot,East District,South,2023-12-06
Borrowdale Depot,East District,Harare,2023-12-16
Glen View Depot,East District,West,2023-12-03
CBD Depot,South District,East,2023-12-30
Makoni Depot,East District,South,2023-12-22
Borrowdale Depot,North District,South,2023-12-07
Makoni Depot,Chitungwiza District,East,2023-12-09
Makoni Depot,North District,East,2024-01-05
Glen View Depot,East District,Harare,2024-01-04
Borrowdale Depot,East District,East,2024-01-05
Mabelreign Depot,Chitungwiza District,Harare,2023-12-22
Southerton Depot,South District,East,2023-12-11
Warren Park Depot,North District,Harare,2024-01-07
Southerton Depot,Chitungwiza District,South,2023-12-14
Warren Park Depot,Chitungwiza District,East,2024-01-04
Borrowdale Depot,East District,Harare,2023-12-30
Mabelreign Depot,North District,South,2024-01-02
CBD Depot,South District,East,2023-12-24
Seke,Chitungwiza District,East,2023-12-25
Borrowdale Depot,North District,South,2024-01-07
Seke,North District,East,2023-12-17
Borrowdale Depot,East District,West,2023-12-24
Mabvuku Depot,East District,Harare,2023-12-28
CBD Depot,Chitungwiza District,West,2024-01-04
Southerton Depot,Chitungwiza District,East,2023-12-25
CBD Depot,North District,Harare,2023-12-07
CBD Depot,Chitungwiza District,South,2023-12-22
Kuwadzana Depot,Chitungwiza District,East,2023-12-19
Zengeza Depot,South District,West,2023-12-29
Glen View Depot,North District,West,2023-12-26
Waterfalls Depot,Chitungwiza District,East,2023-12-28
Warren Park Depot,North District,Harare,2023-12-08
Warren Park Depot,Chitungwiza District,East,2023-12-15
Borrowdale Depot,East District,South,2023-12-17
Waterfalls Depot,East District,South,2024-01-08
Glen View Depot,Chitungwiza District,Harare,2023-12-04
CBD Depot,South District,East,2023-12-02
