"ace","id","section_code","status_1","status_2","status_3","status_4","status_5","order_status","update_user1","update_user2","update_user3","update_user4","update_user5","checked1_by","update_date2","update_date3","update_date4","checked1_date","reason_1","reason_2","reason_3","reason_4","rfq_status","budget_location"
"ACE21111612","254","524705","1","2","2","0","0","0","ze44482","ze333352","ze259063",,,,"2021-11-25 03:09:20","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,"WRONG ASSET CLASS",,,"0","524701"
"ACE21111610","255","524705","1","2","3","4","5","0","ze312061","ze333352","ze259063","ze301736","ze043110",,"2021-11-24 09:08:56","2021-12-14 12:58:19","2021-12-24 11:33:27","0000-00-00 00:00:00",,,,,"0","524701"
"ACE21120136","256","524401","1","2","0","0","0","0","ze38466","ze267562",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","524401"
"ACE21120174","257","524301","1","2","3","4","5","0","ze3522741","ze336319","ze239429","ze301736","ze043110",,"2021-12-17 11:40:22","2021-12-17 01:30:20","2021-12-24 11:32:34","0000-00-00 00:00:00",,,,,"0","524301"
"ACE21120290","258","524001","1","2","3","4","5","0","ze301744","ze277479","ze239429","ze301736","ze043110",,"2021-12-17 10:53:16","2021-12-17 01:16:11","2021-12-24 11:32:17","0000-00-00 00:00:00",,,,,"1","524001"
"ACE2112079","259","524601","1","2","3","4","5","0","ze45934","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:28:10","2021-12-23 03:13:28","2021-12-24 11:31:35","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21120743","260","524601","1","2","3","4","5","0","ze45934","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:29:56","2021-12-23 03:11:01","2021-12-24 11:30:59","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21120894","261","524601","1","2","3","4","5","0","ze45934","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:33:49","2021-12-23 03:10:43","2021-12-24 11:27:25","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21120834","263","522001","1","2","0","0","0","0","ze229105","ze336785",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","522001"
"ACE21120833","264","524604","1","2","3","4","5","0","ze261092","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:19:38","2021-12-23 03:09:59","2021-12-24 11:26:16","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21120819","266","524604","1","2","3","4","5","0","ze261092","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:22:49","2021-12-23 03:09:24","2021-12-24 11:25:04","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21120945","269","524001","1","2","3","4","5","0","ze37540","ze277479","ze239429","ze301736","ze043110",,"2021-12-17 12:11:25","2021-12-17 01:30:42","2021-12-24 11:24:51","0000-00-00 00:00:00",,,,,"0","524001"
"ACE21120975","270","524001","1","2","0","0","0","0","ze37540","ze277479",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","524001"
"ACE21120980","272","522001","1","2","3","4","5","0","ze229105","ze336785","ze239429","ze301736","ze043110",,"2021-12-10 10:26:21","2021-12-14 12:57:46","2021-12-24 11:24:39","0000-00-00 00:00:00",,,,,"1","522001"
"ACE21120913","273","526001","1","2","3","3","0","0","ze291412","ze234001","ze239429","ze301736",,,"2021-12-17 11:35:17","2021-12-17 01:31:33","0000-00-00 00:00:00","0000-00-00 00:00:00",,,"The value of this ACE is not indicated. There is 0.",,"0","526001"
"ACE21120949","276","526001","1","2","3","3","0","0","ze291412","ze234001","ze239429","ze301736",,,"2021-12-17 11:48:03","2021-12-17 01:32:16","0000-00-00 00:00:00","0000-00-00 00:00:00",,,"The value of this ACE is not indicated. There is 0. Please rectify",,"0","526001"
"ACE21121483","287","527001","1","2","3","4","5","0","ze261009","ze294136","ze239429","ze301736","ze043110",,"2021-12-17 11:06:33","2021-12-17 01:32:43","2021-12-24 11:24:27","0000-00-00 00:00:00",,,,,"0","527001"
"ACE21121573","288","524101","1","1","0","0","0","0","ze323896","ze256803",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Wrong quantity on attached specifications",,,,"0","524101"
"ACE2112151","289","524101","1","2","3","4","5","0","ze323896","ze256803","ze239429","ze301736","ze043110",,"2021-12-17 11:44:02","2021-12-17 01:33:56","2021-12-24 11:24:15","0000-00-00 00:00:00",,,,,"0","524101"
"ACE2112169","292","526001","1","2","0","0","0","0","ze291412","ze234001",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","526001"
"ACE21121665","293","526001","1","2","0","0","0","0","ze291412","ze234001",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","526001"
"ACE21121780","294","527001","1","2","0","0","0","0","ze226580","ze261009",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","527001"
"ACE21121798","295","527001","1","2","0","0","0","0","ze226580","ze261009",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","527001"
"ACE21122042","296","527001","1","2","0","0","0","0","ze291463","ze294136",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","527001"
"ACE21122186","297","524603","1","2","3","4","5","0","ze319295","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:17:51","2021-12-23 02:23:37","2021-12-24 11:23:49","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21122125","298","524603","1","2","3","4","5","0","ze319295","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:15:16","2021-12-23 02:19:48","2021-12-24 11:23:37","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21122187","299","524603","1","2","3","4","5","0","ze319295","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:13:21","2021-12-23 02:16:10","2021-12-24 11:23:22","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21122148","300","524603","1","2","3","4","5","0","ze319295","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:10:17","2021-12-23 02:10:40","2021-12-24 11:23:07","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21122190","301","524603","1","2","3","4","5","0","ze319295","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:05:46","2021-12-23 02:10:22","2021-12-24 11:22:55","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21122394","302","524602","1","2","3","4","5","0","ze289329","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:04:06","2021-12-23 02:10:11","2021-12-24 11:22:10","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21122390","303","524602","1","2","3","4","5","0","ze289329","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 01:02:13","2021-12-23 02:07:01","2021-12-24 11:21:57","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21122335","304","524602","1","2","3","4","5","0","ze289329","ze272264","ze321419","ze301736","ze043110",,"2021-12-23 12:57:37","2021-12-23 02:04:41","2021-12-24 11:21:40","0000-00-00 00:00:00",,,,,"0","524601"
"ACE21122353","305","524602","1","1","0","0","0","0","ze289329","ze272264",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","This does not require an ACE",,,,"0","524601"
"ACE21122432","306","527001","1","2","0","0","0","0","ze291463","ze294136",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","527001"
"ACE21122459","307","527001","1","2","0","0","0","0","ze291463","ze294136",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","527001"
"ACE2112289","308","524504","1","1","0","0","0","0","ze310077","ze276111",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Attach specifications",,,,"0","524501"
"ACE21122883","309","524504","1","1","0","0","0","0","ze310077","ze276111",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","Attach specifications",,,,"0","524501"
"ACE21122866","310","527001","1","2","0","0","0","0","ze291463","ze294136",,,,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",,,,,"0","527001"
