"budget_id";"section_code";"section";"budget";"allocated";"withdrawn";"balance";"withdrawal_date";"awaiting_sanctioning";"period";"region"
"884";"524701";"Borrowdale";"Borrowdale-T&E";"409978072.10";"0.00";"409978072.10";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"885";"524701";"Borrowdale";"Borrowdale-computers";"194333420.00";"0.00";"194333420.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"886";"524701";"Borrowdale";"Borrowdale-office and equipments";"206105670.00";"0.00";"206105670.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"887";"524701";"Borrowdale";"Borrowdale-motor vehicles";"1729800000.00";"0.00";"1729800000.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"888";"524701";"Borrowdale";"Borrowdale-Category 1";"4162428160.00";"0.00";"4162428160.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"889";"524701";"Borrowdale";"Borrowdale-Category 2";"32463222592.00";"0.00";"32463222592.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"890";"524701";"Borrowdale";"Borrowdale-Major Distribution Maintenace Equipment";"3782776800.00";"0.00";"3782776800.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"891";"524701";"CBD";"CBD-T&E";"409978072.10";"169990000.00";"239988072.10";"2024-01-17 08:45:43";"0.00";"2024";"harare"
"892";"524701";"CBD";"CBD-computers";"194333420.00";"0.00";"194333420.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"893";"524701";"CBD";"CBD-office and equipments";"206105670.00";"0.00";"206105670.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"894";"524701";"CBD";"CBD-motor vehicles";"1729800000.00";"0.00";"1729800000.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"895";"524701";"CBD";"CBD-Category 1";"3312000000.00";"0.00";"3312000000.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"896";"524701";"CBD";"CBD-Category 2";"11052800000.00";"0.00";"11052800000.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"897";"524701";"CBD";"CBD-Major Distribution Maintenace Equipment";"3782776800.00";"0.00";"3782776800.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"898";"524701";"Mabvuku";"Mabvuku -T&E";"409978072.10";"0.00";"409978072.10";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"899";"524701";"Mabvuku";"Mabvuku -computers";"194333420.00";"0.00";"194333420.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"900";"524701";"Mabvuku";"Mabvuku -office &equipment";"206105670.00";"0.00";"206105670.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"901";"524701";"Mabvuku";"Mabvuku-motor vehicles";"1729800000.00";"0.00";"1729800000.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"902";"524701";"Mabvuku";"Mabvuku-Category 1";"518769600.00";"0.00";"518769600.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"903";"524701";"Mabvuku";"Mabvuku-Category 2";"13379520000.00";"0.00";"13379520000.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"904";"524701";"Mabvuku";"Mabvuku-Major Distribution Maintenace Equipment";"3782776800.00";"0.00";"3782776800.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"905";"524701";"Ruwa";"Ruwa -T&E";"409978072.10";"0.00";"409978072.10";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"906";"524701";"Ruwa";"Ruwa -computers";"194333420.00";"0.00";"194333420.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"907";"524701";"Ruwa";"Ruwa -office &equipment";"206105670.00";"0.00";"206105670.00";"0000-00-00 00:00:00";"1500000.00";"2024";"harare"
"908";"524701";"Ruwa";"Ruwa -motor vehicles";"1729800000.00";"0.00";"1729800000.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"909";"524701";"Ruwa";"Ruwa -Category 1";"77698277568.00";"0.00";"77698277568.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"910";"524701";"Ruwa";"Ruwa -Category 2";"32813939808.00";"0.00";"32813939808.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"911";"524701";"Ruwa";"Ruwa -Major Distribution Maintenace Equipment";"3782776800.00";"0.00";"3782776800.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"912";"524701";"District Office";"District Office -Motor  vehicle";"240250000.00";"0.00";"240250000.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
"913";"524701";"District Office";"District Office- computers";"194333420.00";"0.00";"194333420.00";"0000-00-00 00:00:00";"0.00";"2024";"harare"
