budget_id,section_code,section,budget,allocated,withdrawn,balance,awaiting_sanctioning,period,region
884,524701,Borrowdale,Borrowdale-T&E,164074.9596,0,164074.9596,128865.7628,2024,HARARE REGION
885,524701,Borrowdale,Borrowdale-computers,77773.05715,0,77773.05715,0,2024,HARARE REGION
886,524701,Borrowdale,Borrowdale-office and equipments,82484.36142,8804.493109,73679.86831,0,2024,HARARE REGION
887,524701,Borrowdale,Borrowdale-motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
888,524701,Borrowdale,Borrowdale-Category 1,1665821.366,0,1665821.366,0,2024,HARARE REGION
889,524701,Borrowdale,Borrowdale-Category 2,12991919.07,0,12991919.07,0,2024,HARARE REGION
890,524701,Borrowdale,Borrowdale-Major Distribution Maintenace Equipment,1513883.285,0,1513883.285,0,2024,HARARE REGION
891,524701,CBD,CBD-T&E,164074.9596,81369.23995,82705.71962,0,2024,HARARE REGION
892,524701,CBD,CBD-computers,77773.05715,77479.53936,293.517788,0,2024,HARARE REGION
893,524701,CBD,CBD-office and equipments,82484.36142,0,82484.36142,0,2024,HARARE REGION
894,524701,CBD,CBD-motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
895,524701,CBD,CBD-Category 1,1325476.417,0,1325476.417,0,2024,HARARE REGION
896,524701,CBD,CBD-Category 2,4423377.338,0,4423377.338,0,2024,HARARE REGION
897,524701,CBD,CBD-Major Distribution Maintenace Equipment,1513883.285,0,1513883.285,0,2024,HARARE REGION
898,524701,Mabvuku,Mabvuku -T&E,164074.9596,20410.41584,143664.5437,0,2024,HARARE REGION
899,524701,Mabvuku,Mabvuku -computers,77773.05715,0,77773.05715,0,2024,HARARE REGION
900,524701,Mabvuku,Mabvuku -office &equipment,82484.36142,0,82484.36142,0,2024,HARARE REGION
901,524701,Mabvuku,Mabvuku-motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
902,524701,Mabvuku,Mabvuku-Category 1,207613.7895,0,207613.7895,0,2024,HARARE REGION
903,524701,Mabvuku,Mabvuku-Category 2,5354540.529,0,5354540.529,0,2024,HARARE REGION
904,524701,Mabvuku,Mabvuku-Major Distribution Maintenace Equipment,1513883.285,1179.695622,1512703.589,0,2024,HARARE REGION
905,524701,Ruwa,Ruwa -T&E,164074.9596,0,164074.9596,0,2024,HARARE REGION
906,524701,Ruwa,Ruwa -computers,77773.05715,23211.84547,54561.21168,0,2024,HARARE REGION
907,524701,Ruwa,Ruwa -office &equipment,82484.36142,22211.33489,60273.02653,12006.12697,2024,HARARE REGION
908,524701,Ruwa,Ruwa -motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
909,524701,Ruwa,Ruwa -Category 1,31095179.52,0,31095179.52,0,2024,HARARE REGION
910,524701,Ruwa,Ruwa -Category 2,13132277.59,0,13132277.59,0,2024,HARARE REGION
911,524701,Ruwa,Ruwa -Major Distribution Maintenace Equipment,1513883.285,0,1513883.285,0,2024,HARARE REGION
