"supplier","id","sup_id"
"CAFCA","104","SUP546"
"DIAMOND ELECTRICAL","105","SUP175"
"SWORD WEAR","106","SUP954"
"EULONE INVESTMENTS","109","SUP524"
"DAYBREAK INVESTMENTS","111","SUP921"
"AGRISOFT AFRICA VENTURES","112","SUP998"
"ELOTECH INVESTMENTS","114","SUP617"
"LAST PACK TECHNOLOGY","115","SUP625"
"TOUCHSTONE INVESTMENTS","116","SUP14"
"STAMAN INVESTMENTS","117","SUP536"
"ROUXGOLD","118","SUP277"
"GROOVEYARD MARKETING","119","SUP783"
"FENTRAS INVESTMENTS","120","SUP177"
"LEDGER MINDS","121","SUP538"
"NORBHAT INVESTMENTS","122","SUP28"
"AVONEY ENTERPRISES","123","SUP422"
"UNITRACK CONSULTING ENGINEERS","127","SUP229"
"STANMEC INVESTMENTS","132","SUP510"
"SENTINEL","135","SUP578"
"VOLCOM ","136","SUP464"
"FALCON SIGNAGE","139","SUP336"
"BRANDING MEDIA ","140","SUP771"
"CURRENTWISH ","142","SUP759"
"Cynth","143","SUP491"
"SWINGTONE ENTERPRISES","146","SUP174"
"GREAT STRIPES INVESTMENTS","147","SUP775"
"TINY SAFE","148","SUP15"
"AMMAVIM","149","SUP765"
"MSIZI BLOCK","150","SUP327"
"HEDGEPATH INVESTMENTS","151","SUP752"
"UNITRACK","166","SUP292"
"CURRENTWISH INVESTMENTS","167","SUP140"
"LONYTEC TRADING","172","SUP514"
"RENKO TRADING","173","SUP454"
"PELOSH ENTERPRISES","174","SUP537"
"ENFLO ENGINEERING","175","SUP104"
"RUKKAV INVESTMENTS","177","SUP658"
"FICTECH PVT LTD","178","SUP425"
"GLADPRIM INVESTMENTS","179","SUP532"
"FINDTECH","180","SUP662"
"BRUTAMINE ENTRPRISES","181","SUP48"
"YELLOW PORTION INVESTMENTS","188","SUP700"
"AMMAVIM TRADING","193","SUP334"
"VINMARK INVESTMENTS","194","SUP758"
"ZEALOUS TRADING","195","SUP887"
"FINDTECH TRADING","198","SUP521"
"BRUTAMINE ENTERPRISESRISES","199","SUP485"
"CAFCA LIMITED","200","SUP94"
" MAX HAIVOL","201","SUP262"
"TIT MOTOR SPARES","202","SUP418"
"TARDEN MARKETING","207","SUP423"
"RUKKAV","208","SUP252"
"SUSTAINABLE PROCUREMENT SOLUTIONS","209","SUP822"
"KLEBERSON SAFETY PRODUCTS ","210","SUP139"
"PROMINENT DISTRIBUTORS","211","SUP257"
"ELEGANT EDGE","212","SUP946"
"WOLLATHAM ENTERPRISES","217","SUP649"
"RENKOO TRADING","218","SUP452"
