"supplier","id","sup_id"
"Moeni Enterprises P/L","12","SUP76"
"Loworld Media","13","SUP286"
"Plenthope Investments P/L","14","SUP299"
"Active Marketing International","15","SUP577"
"Havedanso","18","SUP863"
"Coar Sign ","19","SUP73"
"Havedonso","20","SUP755"
"RBS Commercial Supplies","24","SUP919"
"Pure Chemical","25","SUP48"
"Welding & Engineering Supplies","26","SUP971"
"Havedonso Enterprises P/L","27","SUP886"
"Tetra Technologies","28","SUP391"
"Shamlong Trading P/L","29","SUP152"
"The Shark","34","SUP285"
"Roots Services ","36","SUP611"
"Print Logistics","38","SUP158"
"Promotional Lighters","39","SUP832"
"Multmix ","57","SUP197"
"Merchandise Bay P/L","58","SUP709"
"Rupson","59","SUP602"
"Millimark Investments P/L","60","SUP292"
"Shynage Enterprises P/L","61","SUP337"
"chrysoland ","62","SUP944"
"Jeda Construction & General Services","63","SUP617"
"Shumba Construction ","65","SUP324"
"Firetech Fire Engineers","72","SUP151"
"Flametech fire engineers","73","SUP790"
"Henry Engineering and Supplies Fire Engineers","74","SUP16"
"ba","76","SUP908"
"Eastern Electrical","77","SUP192"
"Photizo Power Company","78","SUP789"
"Addecom Investments P/L","79","SUP96"
"APE Engineering ","80","SUP579"
"Elotech Investments P/L","81","SUP671"
"Aqua Bridge ","82","SUP232"
"Pyramid Enterprises P/L","92","SUP338"
"Insols Investments P/L ","96","SUP181"
"Murue Tiles","97","SUP857"
"Atteah Investments P/L","98","SUP734"
"Combine Technologies","99","SUP432"
"Integrated Digital Security Solutions","103","SUP398"
"Solid Edge Technologies","105","SUP436"
"Kingsland Investments (pvt) ltd","106","SUP861"
"Ruwa Export","107","SUP574"
"Walrap Electrical Eng.","118","SUP446"
"L. Bwanya","119","SUP442"
"Laleroney Technology","121","SUP258"
"Panasonic ","122","SUP356"
"Panasonic Business Systems","128","SUP647"
"Laler One Technology","130","SUP651"
"Leonard Bwanya","131","SUP531"
"Isitimela Printing Stationery Solutions","134","SUP339"
"Coar Signs and Engraving","135","SUP392"
"Design Shop","136","SUP899"
"Falcon Signage Supplies","137","SUP476"
"Timeless Signs","138","SUP471"
"Alsana Ent.","139","SUP872"
"Chaight Investments","143","SUP718"
"Mash Energy and Engineering","146","SUP935"
"Hopegauge Investments","147","SUP460"
"Mutare I.T Supplies","150","SUP91"
"Pure Chemicals","156","SUP41"
"Radwave Enterprises","157","SUP495"
"G.M Motor Parts","163","SUP879"
"Solclip Enterprises(Pvt) Ltd","164","SUP77"
"Red Steel Trading Pvt Ltd","166","SUP990"
"Snipe Services","167","SUP386"
"APE Engineering Energy Solutions","168","SUP35"
"Insols Investments Pvt Ltd ","169","SUP560"
"Max Haivo Electrical & Hardware Pvt Ltd","170","SUP313"
"Industrial Technical Engineering Services Pvt Ltd","171","SUP502"
"Eunider Investments","172","SUP486"
"Shamlong Trading Pvt Ltd","173","SUP265"
"Pyramid Enterprises Pvt Ltd","178","SUP274"
"iMash Energy & Engineering Pvt Ltd","183","SUP855"
"Tinty's Hardware","186","SUP615"
"Cleverland Electrical & Hardware","187","SUP319"
"Bligevale Hardware","188","SUP473"
"Joubert Crushers and Transport","190","SUP375"
"Border Timbers","191","SUP931"
"Hotspeck Enterprises","192","SUP674"
"Hawker Siddeley Engineering Pvt Ltd","193","SUP405"
"Elypoint Investments Pvt Ltd","248","SUP967"
"Guide Marketing","249","SUP746"
"Broadbase Enterprises","251","SUP912"
"Tav & Bert Incorp Pvt Ltd","252","SUP836"
"Nuwave Pvt Ltd","253","SUP794"
"GM Motor Parts","254","SUP366"
"Copfame Marketing","255","SUP87"
"Rupson Pvt Ltd","256","SUP251"
"Queling Enterprises","261","SUP49"
