id,section,code,district_id,region_id
1317,Transmission & Distribution,CC570000,,8
1318,Transmission & Distribution Director,CC570100,,8
1319,Trans & Dis Director's Office,570121,,8
1320,Senior Manager Special Assignments,570122,,8
1321,Electricity Trading & Operations,CC570150,,8
1322,Electricity Trading & Operations Manager,570151,,8
1323,Electricity Trading,570152,,8
1324,National Grid,570153,,8
1325,Subtransmission,570154,,8
1326,NCC Administration,570155,,8
1327,Technical Services,CC570200,,8
1328,Technical Services Manager,570201,,8
1329,Power Network Control,CC570210,,8
1330,BRCC-Power Network Control,570210,,8
1331,NCC - Power Network Control,570220,,8
1332,Telecoms,CC570300,,8
1333,Telecomms Engineer's Office,570301,,8
1334,Harare Area-Telecomms,570302,,8
1335,Harare Environs-Telecomms,570304,,8
1336,Kariba-Telecomms,570305,,8
1337,Orange Grove-Telecomms,570306,,8
1338,Hwange-Telecomms,570307,,8
1339,Marvel-Telecomms,570308,,8
1340,Sherwood-Telecomms,570309,,8
1341,Tokwe-Telecomms,570310,,8
1342,Protection,CC570400,,8
1343,Protection Services Engineer,570401,,8
1344,Harare City-Protection,570402,,8
1345,Harare Environs-Protection,570403,,8
1346,Kariba-Protection,570404,,8
1347,Orange Grove-Protection,570405,,8
1348,Bulawayo-Protection,570406,,8
1349,Hwange-Protection,570407,,8
1350,Sherwood-Protection,570408,,8
1351,Tokwe-Protection,570409,,8
1352,Distribution Services,CC570500,,8
1353,Distribution Services Manager,570505,,8
1354,Transport,570506,,8
1355,Section Engineer (SRRC),570507,,8
1356,Metering,CC570510,,8
1357,Section Engineer Metering,570511,,8
1358,Metering East,570512,,8
1359,Metering West,570513,,8
1360,System Development,CC570600,,8
1361,System Development Manager,570601,,8
1362,Network Development,570602,,8
1363,Power Development,570603,,8
1364,Finance,CC570800,,8
1365,Finance Manager,570801,,8
1366,Financial Accounting,570802,,8
1367,Management Accounting,570803,,8
1368,Procurement,570804,,8
1369,Business Planning,CC570900,,8
1370,Business Planning Manager,570901,,8
1371,Human Resources and Administration,CC571000,,8
1372,HR_Apprentices,571005,,8
1373,HR-Postgraduate Trainees,571004,,8
1374,HR-Contract Workers,571003,,8
1375,HR & Admin Manager,571001,,8
1376,Human Resources & Administration,571002,,8
1377,Regional Transmission East,CC572610,,8
1378,Eastern Regional Office,572610,,8
1379,Eastern Region Risk Control,572611,,8
1380,Dema,CC572620,,8
1381,Substations,CC572630,,8
1382,Dema 330kV S/S,572631,,8
1383,Seke 132kV S/s,572633,,8
1384,Bromley 132kV S/s,572634,,8
1385,Lines,CC572640,,8
1386,Mutorashanga,CC572660,,8
1387,Substations,CC572665,,8
1388,Mtorashanga 300kV S/s,572665,,8
