"document_id","rfq_date","scope_of_work","closing_date","closing_time","rfq_no","advert","pr_number","pr_date","tender_opened","tac_date","region"
"TD21111792","2021-11-09","Cable for Borrowdale Depot  ref stf 2690993 2021-176303 ","2021-11-11","10:00","10219987","adverts/Xerox Scan_17112021105628.PDF","acc404088","2021-11-09","2021-11-11","2021-11-17",
"TD21111884","2021-11-03"," Purchase of degreaser for Rain Season Preparedness","2021-11-05","10:00","10214996","adverts/Xerox Scan_18112021102646.PDF","acc404088","2021-11-03","2021-11-05","2021-11-18","harare"
"TD21113018","2021-11-05"," REMOVAL OF TOP SOIL 200MM TOP SOIL AT STORES ","2021-11-12","10:00","10219417","adverts/Xerox Scan_30112021112058.PDF","acc475005","2021-11-12","2021-11-12","2021-11-30","harare"
"TD21120865","2021-11-30"," TONER CARTRIDGE 55A AND 05A","2021-12-02","10:00","10220530","adverts/Xerox Scan_08122021162847.PDF","acc473000","2021-12-08","2021-12-02","2021-12-08","harare"
"TD21120917","2021-11-30"," 205 R 16 TUBELESS TYRES AND TUBELESS VALVE 413","2021-12-02","10:00","10212229","adverts/1639056436Xerox Scan_08122021163158.PDF","acc473960","2021-12-09","2021-12-02","2021-12-09","harare"
"TD21120923","2021-12-07"," CABLE 185MM2 CU 3C 11KV XLPE G/VIEW DEPOT","2021-12-09","10:00","10215905","adverts/1639047924Xerox Scan_09122021104659.PDF","acc404088","2021-12-09","2021-12-09","2021-12-09","harare"
"TD21120944","2021-12-06"," CABLE 95MM2 4C CU PVC/SWA B/DALE DEPOT","2021-12-08","10:00","10221809","adverts/Xerox Scan_09122021104235.PDF","acc404088","2021-12-08","2021-12-08","2021-12-09","harare"
"TD21120947","2021-12-09"," TESTING RANKING IN LIVE","2021-12-09","10:00","23234565","adverts/Priority Coding.txt","acc404065","2021-12-09","2021-12-09","2021-12-09","harare"
"TD21120948","2021-12-06"," ","2021-12-08","10:00","10221040","adverts/Xerox Scan_09122021095852.PDF","acc473020","2021-12-08","2021-12-08","2021-12-09","harare"
"TD21120971","2021-12-06"," CABLE PVC  INSULATED 4C x 70MM2 CU SWA B/DALE","2021-12-08","10:00","10221805","adverts/Xerox Scan_09122021104411.PDF","acc404088","2021-12-08","2021-12-08","2021-12-09","harare"
"TD21120977","2021-12-06"," CABLE 185MM2 4C CU PVC/SWA MABVUKU DEPOT","2021-12-08","10:00","10221370","adverts/Xerox Scan_09122021104532.PDF","acc404088","2021-12-08","2021-12-08","2021-12-09","harare"
"TD21120979","2021-12-07"," CABLE 185MM2 CU 3C 11KV XLPE","2021-12-09","10:00","10215905","adverts/Xerox Scan_09122021104659.PDF","acc404088","2021-12-09","2021-12-09","2021-12-09",
"TD21120984","2021-12-03"," ","2021-12-07","10:00","10221729","adverts/Xerox Scan_09122021094009.PDF","acc466607","2021-12-07","2021-12-07","2021-12-09","harare"
"TD21120994","2021-12-17"," UPGRADE OF CCTV WYNNE STREET BANKING HALL ","2021-12-17","10:00","10212379","adverts/Xerox Scan_09122021124555.PDF","acc474030","2021-12-17","2021-12-17","2021-12-09","harare"
"TD21120999","2021-11-30"," 205 R 16 TUBELESS TYRES AND TUBELESS VALVE 413","2021-12-02","10:00","10212229","adverts/Xerox Scan_08122021163158.PDF","acc473960","2021-12-09","2021-12-02","2021-12-09","harare"
"TD21121368","2021-12-06"," MAJOR SERVICE FOR NISSAN NP300","2021-12-08","10:00","10216732","adverts/1639395983Xerox Scan_09122021132517.PDF","acc473930","2021-12-06","2021-12-08","2021-12-13","harare"
"TD2112137","2021-12-06"," MAJOR SERVICE FOR NISSAN NP300","2021-12-08","10:00","10216732","adverts/Xerox Scan_09122021132517.PDF","acc473930","2021-12-06","2021-12-08","2021-12-13","harare"
"TD21121449","2021-12-06"," MAJOR SERVICE FOR NISSAN NP300","2021-12-08","10:00","10216732","adverts/1639469660Xerox Scan_09122021132517.PDF","acc473930","2021-12-06","2021-12-08","2021-12-08","harare"
"TD21121464","2021-12-06"," Motor vehicle service 2","2021-12-08","10:00","10216732","adverts/AGRICURA-1HA-ONION-2017.pdf","acc473930","2021-12-08","2021-12-08","2021-12-08","harare"
"TD21121476","2021-12-06","Motor vehicle service","2021-12-08","10:00","10267334","adverts/16394901092.1 Introduction to Networks -Cisco IOS Access.pdf","acc473930","2021-12-08","2021-12-08","2021-12-08","harare"
"TD21121484","2021-12-06","Motor vehicle service","2021-12-08","10:00","10267334","adverts/2.1 Introduction to Networks -Cisco IOS Access.pdf","acc473930","2021-12-08","2021-12-08","2021-12-08","harare"
"TD2112151","2021-11-30"," 205 R 16 TUBELESS TYRES AND TUBELESS VALVE 413","2021-12-02","10:00","10212229","adverts/1639567084Xerox Scan_08122021163158.PDF","acc473930","2021-11-30","2021-12-02","2021-12-15","harare"
"TD21121526","2021-12-06"," FILTERS","2021-12-08","10:00","10221472","adverts/Xerox Scan_09122021131526.PDF","acc473930","2021-12-06","2021-12-08","2021-12-15","harare"
"TD21121551","2021-11-24"," LINE MATERIAL","2021-11-26","10:00","10220557","adverts/Xerox Scan_15122021154131.PDF","acc404086","2021-11-24","2021-11-26","2021-12-15","harare"
"TD21121555","2021-12-06"," MAJOR SERVICE FOR NISSAN NP300","2021-12-08","10:00","10216732","adverts/1639557556Xerox Scan_09122021132517.PDF","acc473930","2021-12-06","2021-12-08","2021-12-15","harare"
"TD21121564","2021-12-06"," MAJOR SERVICE FOR NISSAN NP300 2","2021-12-08","10:00","10217378","adverts/Xerox Scan_09122021132205.PDF","acc473930","2021-12-06","2021-12-08","2021-12-15","harare"
"TD2112157","2021-11-30"," CABLE  120 MM2 4C CU PVC SWA/660V METER ","2021-12-02","10:00","10219443","adverts/Xerox Scan_09122021135226.PDF","acc404087","2021-11-30","2021-12-02","2021-12-15","harare"
"TD21121616","2021-11-30"," CABLE 95.0MM2 4C CU PVC/SWA","2021-12-02","10:00","10217173","adverts/Xerox Scan_09122021140422.PDF","acc404087","2021-11-30","2021-12-02","2021-12-16","harare"
"TD21121623","2021-12-08"," CONDUCTOR SCA 200MM2 NEW BARE/PANTHE","2021-12-10","10:00","10222161","adverts/Xerox Scan_16122021100741.PDF","acc404087","2021-12-08","2021-12-10","2021-12-16","harare"
"TD21121626","2021-12-06"," FUSE LUCY POLE UNIT 400A 440V TYPE MCP","2021-12-08","10:00","10221824","adverts/Xerox Scan_09122021133219.PDF","acc404087","2021-12-06","2021-12-08","2021-12-16","harare"
"TD21121632","2021-12-08"," RING MAIM UNIT","2021-12-10","10:00","10221492","adverts/Xerox Scan_16122021095644.PDF","acc404085","2021-12-08","2021-12-10","2021-12-16","harare"
"TD21121642","2021-12-08"," CLAMP STRN G/TYPE EA6 3 BOLT 100MM","2021-12-10","10:00","10221377","adverts/Xerox Scan_16122021094142.PDF","acc404085","2021-12-08","2021-12-10","2021-12-16","harare"
"TD21121643","2021-12-16","LIVE TESTING","2021-12-16","10:00","10219987A","adverts/Xerox Scan_10122021121930.PDF","acc403500","2021-12-16","2021-12-16","2021-12-16","harare"
"TD21121663","2021-12-16"," test for rejection","2021-12-16","10:00","10221920","adverts/min.pdf","acc404080","2021-12-16","2021-12-16","2021-12-16","harare"
"TD21121665","2021-12-08"," BRACKET LV FUSE","2021-12-10","10:00","10221808","adverts/Xerox Scan_16122021100123.PDF","acc404085","2021-12-08","2021-12-10","2021-12-16","harare"
"TD21121697","2021-12-08"," SUPPLY AND FIT TENT ON NISSAN NP300","2021-12-10","10:00","10221961","adverts/Xerox Scan_09122021135147.PDF","acc473930","2021-12-08","2021-12-10","2021-12-16","harare"
"TD21121715","2021-12-16"," J/KITS 120-185MM2","2021-12-17","10:00","10221469","adverts/Xerox Scan_17122021120840.PDF","acc404087","2021-12-16","2021-12-17","2021-12-17","harare"
"TD21121740","2021-12-16","  MOTOR CYCLE RAIN SUITS","2021-12-17","10:00","10222312","adverts/Xerox Scan_17122021120537.PDF","acc473650","2021-12-16","2021-12-17","2021-12-17","harare"
"TD21121761","2021-12-16"," J/KITS AND HACKSAW BLADE","2021-12-17","10:00","10221265","adverts/Xerox Scan_17122021122001.PDF","acc404087","2021-12-16","2021-12-17","2021-12-17","harare"
"TD21122012","2021-12-17"," EAST DISTRICT FAULTS","2021-12-17","14:00","10222579","adverts/Xerox Scan_20122021112131.PDF","acc404088","2021-12-17","2021-12-17","2021-12-20","harare"
"TD21122016","2021-12-17"," EAST DISTRICT FAULTS","2021-12-17","14:00","10222580","adverts/1640018045Xerox Scan_20122021111547.PDF","acc404088","2021-12-17","2021-12-17","2021-12-20","harare"
"TD21122019","2021-12-17"," ","2021-12-17","10:00","10220397","adverts/1640008134Xerox Scan_20122021081021.PDF","acc404088","2021-12-17","2021-12-17","2021-12-20","harare"
