"id","document_id","item_id","item","required_qty","unit_of_measurement","rfq_no"
"69","TD21111792","Item211117604","CABLE 120MM2 4C CU PVC/SWA","40","metres","10219987"
"71","TD21111884","Item211118468","DEGREASER ","560","litres","10214996"
"72","TD21113018","Item211130867","Removal of 200mm top soil at stores","1","each","10219417"
"73","TD21120865","Item211208555","HP 55A","50","each","10220530"
"74","TD21120865","Item211208663","HP 05A","50","each","10220530"
"75","TD21120999","Item211209395","205 R 16 TUBLESS TYRES","40","each","10212229"
"76","TD21120999","Item211209394","TUBELESS VALVE 413","40","each","10212229"
"77","TD21120979","Item211209789","CABLE","15","metres","10215905"
"78","TD21120944","Item211209432","CABLE","50","metres","10221809"
"79","TD21120971","Item211209168","CABLE","15","metres","10221805"
"80","TD21120977","Item211209527","CABLE","500","metres","10221370"
"81","TD21120923","Item211209542","CABLE","15","metres","10215905"
"82","TD21120994","Item211209392","CCTV UPGARDE","1","each","10212379"
"83","TD21120917","Item211209216","205 R 16 TUBLESS TYRES","40","each","10212229"
"84","TD21120917","Item211209650","TUBELESS VALVE 413","40","each","10212229"
"85","TD21120948","Item211209769","VINYL PRINTS","50","each","10221040"
"86","TD21120984","Item211209644","NISSAN NP300 HEAD LAMP","10","each","10221729"
"87","TD21120947","Item211209957","Test Rank","12","each","23234565"
"88","TD21120947","Item211209314","Test Rank2","3","each","23234565"
"89","TD2112137","Item21121311","Rear Brake Shoe Assy","2","each","10216732"
"90","TD2112137","Item211213112","Wheel Bearings kit","2","each","10216732"
"91","TD2112137","Item211213356","Upper Control Arms","2","each","10216732"
"92","TD2112137","Item211213296","Rear Wheel Cylinders","2","each","10216732"
"93","TD2112137","Item211213922","Brake Discs","2","each","10216732"
"94","TD2112137","Item211213669","Wheel Hubs","2","each","10216732"
"95","TD2112137","Item211213429","Brake  Calipers","2","each","10216732"
"96","TD2112137","Item211213385","Starter Motor","1","each","10216732"
"97","TD21121368","Item211213668","Rear Brake Shoe Assy","2","each","10216732"
"98","TD21121368","Item211213427","Wheel Bearings kit","2","each","10216732"
"99","TD21121368","Item211213108","Upper Control Arms","2","each","10216732"
"100","TD21121368","Item211213555","Rear Wheel Cylinders","2","each","10216732"
"101","TD21121368","Item211213913","Brake Discs","2","each","10216732"
"102","TD21121368","Item211213799","Wheel Hubs","2","each","10216732"
"103","TD21121368","Item211213198","Brake  Calipers","2","each","10216732"
"104","TD21121368","Item21121378","Starter Motor","1","each","10216732"
"105","TD21121449","Item211214713","Rear Brake Shoe Assy","2","each","10216732"
"106","TD21121449","Item211214372","Wheel Bearings kit","2","each","10216732"
"107","TD21121449","Item211214453","Upper Control Arms","2","each","10216732"
"108","TD21121449","Item211214408","Rear Wheel Cylinders","2","each","10216732"
"109","TD21121449","Item211214136","Brake Discs","2","each","10216732"
"110","TD21121449","Item211214871","Wheel Hubs","2","each","10216732"
"111","TD21121449","Item211214517","Brake  Calipers","2","each","10216732"
"112","TD21121449","Item211214271","Starter Motor","1","each","10216732"
"113","TD21121464","Item211214601","Rear brake shoe assembly","2","each","10216732"
"114","TD21121464","Item211214923","Wheel bearing kit","2","each","10216732"
"115","TD21121464","Item211214334","Upper control arms","2","each","10216732"
"116","TD21121464","Item211214483","Rear wheel cylinders","2","each","10216732"
"117","TD21121464","Item211214961","Brake disks","2","each","10216732"
"118","TD21121464","Item211214769","Wheel hubs","2","each","10216732"
"119","TD21121464","Item211214429","Brake calipers","2","each","10216732"
"120","TD21121464","Item211214625","Starter motor","1","each","10216732"
"121","TD21121484","Item211214873","Rear Brake Shoe Assy","2","each","10267334"
"122","TD21121484","Item21121479","Wheel Bearings Kit","2","each","10267334"
"123","TD21121484","Item21121411","Upper Control Arm","2","each","10267334"
"124","TD21121484","Item211214228","Rear Wheel Cylinders","2","each","10267334"
"125","TD21121484","Item211214842","Brake Discs","2","each","10267334"
"126","TD21121484","Item211214632","Wheel Hubs","2","each","10267334"
"127","TD21121484","Item211214517","Brake Calipers","2","each","10267334"
"128","TD21121484","Item211214649","Starter Motor","1","each","10267334"
"129","TD21121476","Item211214327","Rear Brake Shoe Assy","2","each","10267334"
"130","TD21121476","Item211214625","Wheel Bearings Kit","2","each","10267334"
"131","TD21121476","Item211214769","Upper Control Arm","2","each","10267334"
"132","TD21121476","Item211214740","Rear Wheel Cylinders","2","each","10267334"
"133","TD21121476","Item21121442","Brake Discs","2","each","10267334"
"134","TD21121476","Item211214191","Wheel Hubs","2","each","10267334"
"135","TD21121476","Item211214832","Brake Calipers","2","each","10267334"
"136","TD21121476","Item211214627","Starter Motor","1","each","10267334"
"137","TD21121555","Item211215700","Rear Brake Shoe Assy","2","each","10216732"
"138","TD21121555","Item211215541","Wheel Bearings kit","2","each","10216732"
"139","TD21121555","Item211215465","Upper Control Arms","2","each","10216732"
"140","TD21121555","Item211215318","Rear Wheel Cylinders","2","each","10216732"
"141","TD21121555","Item211215258","Brake Discs","2","each","10216732"
"142","TD21121555","Item21121565","Wheel Hubs","2","each","10216732"
"143","TD21121555","Item21121531","Brake  Calipers","2","each","10216732"
"144","TD21121555","Item211215687","Starter Motor","1","each","10216732"
"145","TD21121564","Item211215685","Starter Motor","1","each","10217378"
"146","TD21121564","Item211215956","Tail lamps","2","each","10217378"
"147","TD21121564","Item211215430","Primer Pump","1","each","10217378"
"148","TD21121564","Item211215888","195 R 15C TYRES","4","each","10217378"
"149","TD21121564","Item211215674","650 BATTERY","1","each","10217378"
"150","TD21121564","Item211215240","Rear Brake Assy","2","each","10217378"
"151","TD21121564","Item211215542","Front Hubs","2","each","10217378"
"152","TD21121564","Item211215566","Brake Discs","2","each","10217378"
"153","TD21121564","Item211215883","Brake Calipers","2","each","10217378"
"154","TD21121526","Item211215339","NISSAN NP300 OIL FILTER","20","each","10221472"
"155","TD21121526","Item211215183","NISSAN NP 300 FILTER SED","20","each","10221472"
"156","TD21121526","Item211215192","NISSAN NP 300 CART FILTER","20","each","10221472"
"157","TD21121526","Item211215768","NISSAN NP 300 OIL FILTER","20","each","10221472"
"158","TD21121588","Item211215641","NISSAN NP300 OIL FILTER","20","each","10221472"
"159","TD21121588","Item211215954","NISSAN NP 300 FILTER SED","20","each","10221472"
"160","TD21121588","Item211215928","NISSAN NP 300 CART FILTER","20","each","10221472"
"161","TD21121588","Item211215933","NISSAN NP300 AIR FILTER","20","each","10221472"
"162","TD2112151","Item211215547","205 R 16 TUBLESS TYRES","40","each","10212229"
"163","TD2112151","Item211215385","TUBELESS VALVE 413","40","each","10212229"
"164","TD21121551","Item211215557","IRON D-3.5 SHACKLE TYPE INSUL.DWG","8","each","10220557"
"165","TD21121551","Item211215277","WIRE GALV STAY 45 TON 7/12'' STRAIN''","30","each","10220557"
"166","TD21121551","Item211215363","STRAP SHACKLE MV C/W 16MM BOLTS","4","each","10220557"
"167","TD21121551","Item21121545","INSUL SHACKLE 78MM DIA 64MM HIGH PORCEL","12","each","10220557"
"168","TD21121551","Item21121569","EYE BOLT M16XMM","8","each","10220557"
"169","TD21121551","Item211215145","STAY BOW C/W THIMBLE 5/8''(16mm)","4","each","10220557"
"170","TD21121551","Item211215487","STAY ROD 5/8 (16MM)","4","each","10220557"
"171","TD21121551","Item211215900","STAY WASHER SQUARE 1000X100MM GALV .16MM","4","each","10220557"
"172","TD21121551","Item211215964","CABLE 95.0MM2 4C CU PVC/SWA","10","each","10220557"
"173","TD2112157","Item211215946","CABLE 120MM2 4C CU PVC/SWA 660V","15","each","10219443"
"174","TD21121663","Item211216349","Rear brake shoe assembly","2","each","10221920"
"175","TD21121643","Item211216691","CABLE 120MM2 4C CU PVC/SWA","10","metres","10219987A"
"176","TD21121635","Item211216290","new transformer oil","640","litres","10221825"
"177","TD21121632","Item211216279","RING MAIN UNIT","1","each","10221492"
"178","TD21121642","Item211216113","CLAMP STRN G/TYPE EA6 3 BOLT 100MM","24","each","10221377"
"179","TD21121616","Item211216983","CABLE 95.0MM2 4C CU PVC/SWA","20","each","10217173"
"180","TD21121623","Item211216592","CONDUCTOR SCA 200 NEW BARE/PANTHEMM2","4500","each","10222161"
"181","TD21121697","Item211216969","SUPPLY AND FIT TENT ON NISSAN NP300","1","each","10221961"
"182","TD21121626","Item211216650","FUSE LUCY POLE UNIT 400A 440V TYPE MCB","60","each","10221824"
"183","TD21121665","Item211216646","BRACKET LV FUSE ZIG ZAG","6","each","10221808"
"184","TD21121665","Item211216791","FUSE CARRIER 200/400A 82.5MM MV","24","each","10221808"
"185","TD21121665","Item211216413","ARRESTER INTERMEDIATE SURGE 11KV CLASS 2","3","each","10221808"
"186","TD21121665","Item21121618","JOINTING KIT LV SIZE 6 ,CABLE 120-240MM2","8","each","10221808"
"187","TD21121740","Item211217107","RAIN COAT MOTOR CYCLE S","3","each","10222312"
"188","TD21121740","Item211217329","RAIN COAT MOTOR CYCLE M","11","each","10222312"
"189","TD21121740","Item211217465","RAIN COAT MOTOR CYCLE L","84","each","10222312"
"190","TD21121740","Item211217744","RAINCOAT MOTOR CYCLE XL ","327","each","10222312"
"191","TD21121740","Item211217760","RAINCOAT MOTOR CYCLE XXL","336","each","10222312"
"192","TD21121740","Item211217892","RAINCOAT MOTOR CYCLE XXXL","39","each","10222312"
"193","TD21121761","Item211217491","J/KITS 120-185MM2 11KV PILC","6","each","10221265"
