Fault Description,
Voltage fluctuation, Unstable grid
Ground fault, Moisture exposure
Equipment failure, Generator failure
Voltage fluctuation, Brownout
Ground fault, Damaged equipment
Power outage, Severe weather
Short circuit, Damaged equipment
Power outage, Unplanned outage
Circuit overload, Overloaded circuit breaker
Circuit overload, Excessive appliance use
Power outage, Planned maintenance
Equipment failure, Generator failure
Short circuit, Damaged equipment
Power outage, Equipment failure
Power outage, Animal interference
Short circuit, Water intrusion
Power outage, Equipment failure
Short circuit, Water intrusion
Circuit overload, Excessive appliance use
Equipment failure, Aging infrastructure
Equipment failure, Transformer failure
Short circuit, Loose connections
Short circuit, Water intrusion
Short circuit, Overloaded circuit
Voltage fluctuation, Equipment malfunction
Voltage fluctuation, Faulty transformer
Equipment failure, Transformer failure
Power outage, Animal interference
Power outage, Equipment failure
Ground fault, Faulty wiring
Short circuit, Damaged equipment
Voltage fluctuation, Equipment malfunction
Short circuit, Loose connections
Power outage, Unplanned outage
Short circuit, Loose connections
Ground fault, Lightning strike
Voltage fluctuation, Faulty transformer
Power outage, Severe weather
Power outage, Planned maintenance
Equipment failure, Power line damage
Power outage, Planned maintenance
Equipment failure, Power line damage
Equipment failure, Power line damage
Ground fault, Lightning strike
Voltage fluctuation, Spike
Voltage fluctuation, Brownout
Voltage fluctuation, Equipment malfunction
Power outage, Equipment failure
Circuit overload, Damaged equipment
Circuit overload, Faulty wiring
Voltage fluctuation, Unstable grid
Ground fault, Damaged equipment
Short circuit, Water intrusion
Equipment failure, Aging infrastructure
Voltage fluctuation, Equipment malfunction
Circuit overload, Improper grounding
Equipment failure, Generator failure
Voltage fluctuation, Faulty transformer
Ground fault, Lightning strike
Ground fault, Moisture exposure
Voltage fluctuation, Unstable grid
Voltage fluctuation, Brownout
Power outage, Equipment failure
Ground fault, Moisture exposure
Power outage, Animal interference
Circuit overload, Damaged equipment
Power outage, Planned maintenance
Short circuit, Overloaded circuit
Ground fault, Improper grounding
Power outage, Equipment failure
Equipment failure, Substation malfunction
Equipment failure, Generator failure
Circuit overload, Overloaded circuit breaker
Short circuit, Water intrusion
Voltage fluctuation, Faulty transformer
Short circuit, Damaged equipment
Voltage fluctuation, Brownout
Power outage, Equipment failure
Circuit overload, Overloaded circuit breaker
Voltage fluctuation, Equipment malfunction
Equipment failure, Generator failure
Short circuit, Overloaded circuit
Voltage fluctuation, Spike
Voltage fluctuation, Unstable grid
Voltage fluctuation, Equipment malfunction
Equipment failure, Power line damage
Voltage fluctuation, Faulty transformer
Power outage, Equipment failure
Voltage fluctuation, Unstable grid
Circuit overload, Overloaded circuit breaker
Equipment failure, Transformer failure
Ground fault, Moisture exposure
Equipment failure, Power line damage
Circuit overload, Overloaded circuit breaker
Equipment failure, Transformer failure
Equipment failure, Substation malfunction
Ground fault, Lightning strike
Circuit overload, Overloaded circuit breaker
Circuit overload, Excessive appliance use
Power outage, Planned maintenance
